control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_5d,control_count,delta_abs_fwd_10d,delta_abs_fwd_14d,delta_abs_fwd_5d,delta_directional_fwd_10d,delta_directional_fwd_14d,delta_directional_fwd_5d,delta_path_range_10d,delta_path_range_14d,delta_path_range_5d,description,direction_hypothesis,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_5d,event_count,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_5d,event_path_range_10d,event_path_range_14d,event_path_range_5d,event_prior_1d_return,symbol,variant
0.050113513042193546,0.09010441742826007,0.02203930261818121,-0.050113513042193546,-0.09010441742826007,-0.01471785443573074,0.06958784718550903,0.1030889754025361,0.0395797999469266,3,-0.013441048845028357,-0.026417928141356503,-0.01896784497099191,0.013441048845028357,0.026417928141356503,0.011646396788541439,0.012379365929245184,-0.0029520550013963226,-0.001205082113969476,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.03667246419716519,0.06368648928690357,0.003071457647189302,6,2026-04-17,-0.03667246419716519,-0.06368648928690357,-0.003071457647189302,0.08196721311475422,0.10013692040113978,0.03837471783295712,0.025930144267274358,AAPL,baseline_complete_directional
0.050113513042193546,0.09010441742826007,0.02203930261818121,0.050113513042193546,0.09010441742826007,0.01471785443573074,0.06958784718550903,0.1030889754025361,0.0395797999469266,3,-0.013441048845028357,-0.026417928141356503,-0.01896784497099191,-0.013441048845028357,-0.026417928141356503,-0.011646396788541439,0.012379365929245184,-0.0029520550013963226,-0.001205082113969476,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.03667246419716519,0.06368648928690357,0.003071457647189302,10,2026-04-17,0.03667246419716519,0.06368648928690357,0.003071457647189302,0.08196721311475422,0.10013692040113978,0.03837471783295712,0.025930144267274358,AAPL,baseline_complete_directional
0.0513566037900924,0.08363787712658133,0.02576273348857927,-0.0513566037900924,-0.08363787712658133,-0.007409295620061096,0.09478900277375367,0.11992341581449142,0.05123511523050286,3,0.030765435610778193,0.01652444855776891,0.007735385009170148,-0.030765435610778193,-0.01652444855776891,-0.026088822877688322,0.014743941961729234,0.012335124730037533,0.030481109959492096,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.0821220394008706,0.10016232568435024,0.03349811849774942,4,2026-04-24,-0.0821220394008706,-0.10016232568435024,-0.03349811849774942,0.1095329447354829,0.13225854054452896,0.08171622518999495,-0.008667666313133204,AAPL,baseline_complete_directional
0.0513566037900924,0.08363787712658133,0.02576273348857927,0.0513566037900924,0.08363787712658133,0.007409295620061096,0.09478900277375367,0.11992341581449142,0.05123511523050286,3,0.030765435610778193,0.01652444855776891,0.007735385009170148,0.030765435610778193,0.01652444855776891,0.026088822877688322,0.014743941961729234,0.012335124730037533,0.030481109959492096,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.0821220394008706,0.10016232568435024,0.03349811849774942,10,2026-04-24,0.0821220394008706,0.10016232568435024,0.03349811849774942,0.1095329447354829,0.13225854054452896,0.08171622518999495,-0.008667666313133204,AAPL,baseline_complete_directional
0.2762387085868853,0.5757632494367879,0.1713889911958034,-0.2762387085868853,-0.5757632494367879,-0.1713889911958034,0.3259381400707046,0.6061454828725811,0.2199973353063417,3,0.018850913885186282,-0.10854100725854865,0.07797341406300631,-0.018850913885186282,0.10854100725854865,-0.07797341406300631,0.00018707994438221798,-0.036441111307510377,0.07092547082893619,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.2950896224720716,0.46722224217823927,0.2493624052588097,4,2026-04-17,-0.2950896224720716,-0.46722224217823927,-0.2493624052588097,0.3261252200150868,0.5697043715650707,0.2909228061352779,0.00046718895996544774,AMD,baseline_complete_directional
0.2762387085868853,0.5757632494367879,0.1713889911958034,0.2762387085868853,0.5757632494367879,0.1713889911958034,0.3259381400707046,0.6061454828725811,0.2199973353063417,3,0.018850913885186282,-0.10854100725854865,0.07797341406300631,0.018850913885186282,-0.10854100725854865,0.07797341406300631,0.00018707994438221798,-0.036441111307510377,0.07092547082893619,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.2950896224720716,0.46722224217823927,0.2493624052588097,9,2026-04-17,0.2950896224720716,0.46722224217823927,0.2493624052588097,0.3261252200150868,0.5697043715650707,0.2909228061352779,0.00046718895996544774,AMD,baseline_complete_directional
0.31038446438169665,0.4958186435313301,0.12013925585419509,-0.31038446438169665,-0.4958186435313301,-0.12013925585419509,0.3658252877770795,0.5641901031193227,0.190669833119139,3,-0.0016526855369249915,-0.20287134471876,-0.08353881308371684,0.0016526855369249915,0.20287134471876,0.08353881308371684,0.054777915121054566,-0.10642580652060513,-0.03889156337416322,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.30873177884477165,0.2929472988125701,0.03660044277047825,5,2026-04-24,-0.30873177884477165,-0.2929472988125701,-0.03660044277047825,0.4206032028981341,0.4577642965987176,0.15177826974497577,0.1391281564209217,AMD,baseline_complete_directional
0.31038446438169665,0.4958186435313301,0.12013925585419509,0.31038446438169665,0.4958186435313301,0.12013925585419509,0.3658252877770795,0.5641901031193227,0.190669833119139,3,-0.0016526855369249915,-0.20287134471876,-0.08353881308371684,-0.0016526855369249915,-0.20287134471876,-0.08353881308371684,0.054777915121054566,-0.10642580652060513,-0.03889156337416322,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.30873177884477165,0.2929472988125701,0.03660044277047825,9,2026-04-24,0.30873177884477165,0.2929472988125701,0.03660044277047825,0.4206032028981341,0.4577642965987176,0.15177826974497577,0.1391281564209217,AMD,baseline_complete_directional
0.04208788133347097,0.02611955686600113,0.04381891170156763,0.04208788133347097,0.013084645533711877,0.04381891170156763,0.1708546609804326,0.1869881425143082,0.11062970978433939,3,0.030998921361241494,0.03867955135868746,-0.012025183208377123,0.030998921361241494,0.051714462690976716,-0.012025183208377123,-0.002774401202407073,-0.01890788273628269,-0.0215006446944348,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.07308680269471246,0.0647991082246886,0.03179372849319051,3,2026-04-17,0.07308680269471246,0.0647991082246886,0.03179372849319051,0.16808025977802551,0.16808025977802551,0.08912906508990459,0.03255348429876159,COIN,baseline_complete_directional
0.04208788133347097,0.02611955686600113,0.04381891170156763,-0.04208788133347097,-0.013084645533711877,-0.04381891170156763,0.1708546609804326,0.1869881425143082,0.11062970978433939,3,0.030998921361241494,0.03867955135868746,-0.012025183208377123,-0.030998921361241494,-0.051714462690976716,0.012025183208377123,-0.002774401202407073,-0.01890788273628269,-0.0215006446944348,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.07308680269471246,0.0647991082246886,0.03179372849319051,9,2026-04-17,-0.07308680269471246,-0.0647991082246886,-0.03179372849319051,0.16808025977802551,0.16808025977802551,0.08912906508990459,0.03255348429876159,COIN,baseline_complete_directional
