control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_1d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_1d,control_avg_directional_fwd_5d,control_avg_mae_10d,control_avg_mae_14d,control_avg_mae_1d,control_avg_mae_5d,control_avg_mfe_10d,control_avg_mfe_14d,control_avg_mfe_1d,control_avg_mfe_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_1d,control_avg_path_range_5d,delta_abs_fwd_10d,delta_abs_fwd_14d,delta_abs_fwd_1d,delta_abs_fwd_5d,delta_directional_fwd_10d,delta_directional_fwd_14d,delta_directional_fwd_1d,delta_directional_fwd_5d,delta_mae_10d,delta_mae_14d,delta_mae_1d,delta_mae_5d,delta_mfe_10d,delta_mfe_14d,delta_mfe_1d,delta_mfe_5d,delta_path_range_10d,delta_path_range_14d,delta_path_range_1d,delta_path_range_5d,direction_hypothesis,direction_sign,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_count,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,event_proximate_pit_news,first_option_event_at,later_explained_news,later_news_count_after_event_plus1d,matched_control_count,pit_news_count_prior1d_to_event,pit_news_families,pit_prior_day_news_count,pit_same_day_news_count_before_event,primary_pit_news_family,same_day_pit_news,symbol
0.050113513042193546,0.09010441742826007,0.0177269714615651,0.02203930261818121,-0.050113513042193546,-0.09010441742826007,-0.0177269714615651,-0.01471785443573074,-0.009148131747015379,-0.009148131747015379,0.0032233338383584886,-0.008730515953545423,0.06043971543849369,0.09394084365552069,0.023915755737399385,0.030849283993381233,0.06958784718550903,0.1030889754025361,0.020692421899040882,0.0395797999469266,-0.013441048845028357,-0.026417928141356503,-0.007291416563885322,-0.01896784497099191,0.013441048845028357,0.026417928141356503,0.007291416563885322,0.011646396788541439,-0.009946713384909342,-0.009946713384909342,-0.003001300755429037,-0.00914314722226787,0.0024326525443358893,-0.01289876838630577,-0.008947025396578805,-0.01034822933623743,0.012379365929245184,-0.0029520550013963226,-0.005945724641149617,-0.001205082113969476,bearish_activity,-1,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,6,2026-04-17,-0.03667246419716519,-0.06368648928690357,-0.010435554897679777,-0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,True,2026-04-17T09:38:18.401000-04:00,True,6,3,11,analyst_rating_news:1;earnings_or_guidance_news:3;general_company_news:7,9,2,general_company_news,True,AAPL
0.050113513042193546,0.09010441742826007,0.0177269714615651,0.02203930261818121,0.050113513042193546,0.09010441742826007,0.0177269714615651,0.01471785443573074,-0.009148131747015379,-0.009148131747015379,0.0032233338383584886,-0.008730515953545423,0.06043971543849369,0.09394084365552069,0.023915755737399385,0.030849283993381233,0.06958784718550903,0.1030889754025361,0.020692421899040882,0.0395797999469266,-0.013441048845028357,-0.026417928141356503,-0.007291416563885322,-0.01896784497099191,-0.013441048845028357,-0.026417928141356503,-0.007291416563885322,-0.011646396788541439,-0.009946713384909342,-0.009946713384909342,-0.003001300755429037,-0.00914314722226787,0.0024326525443358893,-0.01289876838630577,-0.008947025396578805,-0.01034822933623743,0.012379365929245184,-0.0029520550013963226,-0.005945724641149617,-0.001205082113969476,bullish_activity,1,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,10,2026-04-17,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,True,2026-04-17T09:35:00.852000-04:00,True,6,3,11,analyst_rating_news:1;earnings_or_guidance_news:3;general_company_news:7,9,2,general_company_news,True,AAPL
0.050113513042193546,0.09010441742826007,0.0177269714615651,0.02203930261818121,,,,,-0.009148131747015379,-0.009148131747015379,0.0032233338383584886,-0.008730515953545423,0.06043971543849369,0.09394084365552069,0.023915755737399385,0.030849283993381233,0.06958784718550903,0.1030889754025361,0.020692421899040882,0.0395797999469266,-0.013441048845028357,-0.026417928141356503,-0.007291416563885322,-0.01896784497099191,,,,,-0.009946713384909342,-0.009946713384909342,-0.003001300755429037,-0.00914314722226787,0.0024326525443358893,-0.01289876838630577,-0.008947025396578805,-0.01034822933623743,0.012379365929245184,-0.0029520550013963226,-0.005945724641149617,-0.001205082113969476,bullish_activity_or_put_selling,0,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,2,2026-04-17,,,,,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,True,2026-04-17T09:48:28.792000-04:00,True,6,3,11,analyst_rating_news:1;earnings_or_guidance_news:3;general_company_news:7,9,2,general_company_news,True,AAPL
0.050113513042193546,0.09010441742826007,0.0177269714615651,0.02203930261818121,,,,,-0.009148131747015379,-0.009148131747015379,0.0032233338383584886,-0.008730515953545423,0.06043971543849369,0.09394084365552069,0.023915755737399385,0.030849283993381233,0.06958784718550903,0.1030889754025361,0.020692421899040882,0.0395797999469266,-0.013441048845028357,-0.026417928141356503,-0.007291416563885322,-0.01896784497099191,,,,,-0.009946713384909342,-0.009946713384909342,-0.003001300755429037,-0.00914314722226787,0.0024326525443358893,-0.01289876838630577,-0.008947025396578805,-0.01034822933623743,0.012379365929245184,-0.0029520550013963226,-0.005945724641149617,-0.001205082113969476,mixed_or_conflicting_activity,0,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,4,2026-04-17,,,,,-0.01909484513192472,-0.01909484513192472,0.00022203308292945145,-0.017873663175813292,0.06287236798282958,0.08104207526921492,0.01496873034082058,0.020501054657143802,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,True,2026-04-17T09:41:12.773000-04:00,True,6,3,11,analyst_rating_news:1;earnings_or_guidance_news:3;general_company_news:7,9,2,general_company_news,True,AAPL
0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,-0.0513566037900924,-0.08363787712658133,0.01195309041373549,-0.007409295620061096,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,-0.030765435610778193,-0.01652444855776891,0.0007747189273697996,-0.026088822877688322,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,bearish_activity,-1,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,4,2026-04-24,-0.0821220394008706,-0.10016232568435024,0.01272780934110529,-0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,True,2026-04-24T09:36:44.752000-04:00,True,5,3,4,earnings_or_guidance_news:2;general_company_news:1;legal_regulatory_news:1,3,1,earnings_or_guidance_news,True,AAPL
0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,,,,,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,,,,,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,bearish_activity_or_call_selling,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,1,2026-04-24,,,,,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,True,2026-04-24T10:31:06.825000-04:00,True,4,3,5,earnings_or_guidance_news:2;general_company_news:2;legal_regulatory_news:1,3,2,earnings_or_guidance_news,True,AAPL
0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,0.0513566037900924,0.08363787712658133,-0.01195309041373549,0.007409295620061096,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,0.030765435610778193,0.01652444855776891,-0.0007747189273697996,0.026088822877688322,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,bullish_activity,1,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,10,2026-04-24,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,True,2026-04-24T09:36:16.917000-04:00,True,5,3,4,earnings_or_guidance_news:2;general_company_news:1;legal_regulatory_news:1,3,1,earnings_or_guidance_news,True,AAPL
0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,,,,,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,,,,,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,bullish_activity_or_put_selling,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,6,2026-04-24,,,,,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,True,2026-04-24T09:44:07.106000-04:00,True,5,3,4,earnings_or_guidance_news:2;general_company_news:1;legal_regulatory_news:1,3,1,earnings_or_guidance_news,True,AAPL
0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,,,,,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,,,,,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,mixed_or_conflicting_activity,0,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,1,2026-04-24,,,,,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,True,2026-04-24T10:33:29.208000-04:00,True,4,3,5,earnings_or_guidance_news:2;general_company_news:2;legal_regulatory_news:1,3,2,earnings_or_guidance_news,True,AAPL
0.05249478346816994,0.07918146209320209,0.0130734347125121,0.0352027360334809,-0.05249478346816994,-0.07918146209320209,-0.0130734347125121,-0.027881287851030428,-0.029651865138924594,-0.029651865138924594,-0.005898841220498663,-0.01392802939391935,0.05439835999560705,0.08090200241607781,0.01700834384216206,0.03777047877819865,0.08405022513453153,0.11055386755500234,0.022907185062660717,0.051698508172118046,,,-0.001257913901488994,0.01184516858563811,,,0.024888955523535206,-0.01916661676808858,,,-0.012948520812770425,-0.004919332639349738,,,-0.01525921840488061,0.014417712840277895,,,-0.0023106975921102536,0.019337045479627515,bearish_activity,-1,,,0.011815520811023106,0.04704790461911901,11,2026-05-01,,,0.011815520811023106,-0.04704790461911901,,,-0.01884736203326909,-0.01884736203326909,,,0.0017491254372814513,0.05218819161847654,,,0.020596487470550463,0.07103555365174556,True,2026-05-01T09:35:00.879000-04:00,True,19,3,38,analyst_rating_news:2;earnings_or_guidance_news:24;general_company_news:10;macro_policy_news:1;regulatory_or_clinical_news:1,28,10,earnings_or_guidance_news,True,AAPL
