avg_delta_abs_fwd_10d,avg_delta_abs_fwd_14d,avg_delta_abs_fwd_5d,avg_delta_directional_fwd_10d,avg_delta_directional_fwd_14d,avg_delta_directional_fwd_5d,avg_delta_path_range_10d,avg_delta_path_range_14d,avg_delta_path_range_5d,avg_pit_news_count_prior1d_to_event,control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_5d,direction_hypothesis,event_avg_abs_fwd_10d,event_avg_abs_fwd_14d,event_avg_abs_fwd_5d,event_avg_directional_fwd_10d,event_avg_directional_fwd_14d,event_avg_directional_fwd_5d,event_avg_path_range_10d,event_avg_path_range_14d,event_avg_path_range_5d,event_proximate_pit_news,later_explained_news,n_event_count_sum,n_symbols,n_windows,positive_delta_rate_abs_fwd_10d,positive_delta_rate_abs_fwd_14d,positive_delta_rate_abs_fwd_5d,positive_delta_rate_directional_fwd_10d,positive_delta_rate_directional_fwd_14d,positive_delta_rate_directional_fwd_5d,positive_delta_rate_path_range_10d,positive_delta_rate_path_range_14d,positive_delta_rate_path_range_5d,primary_pit_news_family,sample
,,0.2965187606605917,,,0.0,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,0.0,,0.0,0.6348708385697908,,0.11774696954440574,,,,0.33828194391574673,,,0.0,,,0.37266844309097835,False,,23,1,5,,,1.0,,,0.5,,,1.0,,by_pit_news_proximity
-0.005661858685310793,-0.012911255789751342,0.004959523171430555,-0.0015976379590800774,0.0020364858344632626,0.000508631496835503,-0.0008422867169995001,-0.015419665876608183,0.009872047798145043,9.312925170068027,0.09094483964129721,0.12439846351055073,0.043610812288623214,3.2153199162701686e-05,-0.0012192287894833946,0.0012336381652700268,0.14807705827441467,0.20315708930033,0.08533772404917711,,0.07984025086035809,0.11317416416790466,0.04857033546005377,-0.0015490342859271562,0.0007225367736094837,0.00174226966210553,0.14502573973951716,0.19006154893575816,0.09520977184732217,True,,763,12,147,0.37254901960784315,0.41836734693877553,0.54421768707483,0.4883720930232558,0.5121951219512195,0.49230769230769234,0.5490196078431373,0.336734693877551,0.6394557823129252,,by_pit_news_proximity
,,0.2965187606605917,,,-0.3125595918672997,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,-0.5112792648223915,,-0.02572235204844701,0.6348708385697908,,0.11774696954440574,bearish_activity,,,0.33828194391574673,,,-0.33828194391574673,,,0.37266844309097835,False,,5,1,1,,,1.0,,,0.0,,,1.0,,by_pit_news_proximity_and_direction
,,0.2965187606605917,,,,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,,,,0.6348708385697908,,0.11774696954440574,bearish_activity_or_call_selling,,,0.33828194391574673,,,,,,0.37266844309097835,False,,3,1,1,,,1.0,,,,,,1.0,,by_pit_news_proximity_and_direction
,,0.2965187606605917,,,0.3125595918672997,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,0.5112792648223915,,0.02572235204844701,0.6348708385697908,,0.11774696954440574,bullish_activity,,,0.33828194391574673,,,0.33828194391574673,,,0.37266844309097835,False,,4,1,1,,,1.0,,,1.0,,,1.0,,by_pit_news_proximity_and_direction
,,0.2965187606605917,,,,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,,,,0.6348708385697908,,0.11774696954440574,bullish_activity_or_put_selling,,,0.33828194391574673,,,,,,0.37266844309097835,False,,3,1,1,,,1.0,,,,,,1.0,,by_pit_news_proximity_and_direction
,,0.2965187606605917,,,,,,0.25492147354657263,0.0,0.5112792648223915,,0.041763183255155045,,,,0.6348708385697908,,0.11774696954440574,mixed_or_conflicting_activity,,,0.33828194391574673,,,,,,0.37266844309097835,False,,8,1,1,,,1.0,,,,,,1.0,,by_pit_news_proximity_and_direction
-0.0066777815020885745,-0.017723243104545747,0.004222949515981605,0.007805446343204524,0.021761657394780125,-0.0030271073515408,-0.0034225668133571136,-0.01765222493814651,0.007463170615738906,11.225806451612904,0.09205376196849796,0.1305030334517166,0.04445208385753256,-0.06519239611863531,-0.11130775612742513,-0.01332608555844783,0.15044662292590327,0.2100134393519138,0.08644302036110954,bearish_activity,0.08191051700920904,0.11630168421840352,0.048675033373514164,-0.0531094251750031,-0.0932699133183894,-0.01635319290998863,0.14850810144348608,0.19775118293832372,0.09390619097684845,True,,165,12,31,0.35,0.3157894736842105,0.5161290322580645,0.6,0.42105263157894735,0.41935483870967744,0.5,0.3157894736842105,0.6129032258064516,,by_pit_news_proximity_and_direction
-0.0036781648884197157,-0.0050884311563200125,0.0073301265098467015,,,,0.0010119505102804726,-0.010625447143206858,0.012600577383987949,6.8,0.08965385261371445,0.11681157002046927,0.04045481006254734,,,,0.14828322852601208,0.20011422470918813,0.08422836110410399,bearish_activity_or_call_selling,0.08225412963379296,0.11172313886414927,0.04778493657239404,,,,0.14669039049760255,0.1894887775659813,0.09682893848809196,True,,63,10,25,0.42105263157894735,0.47368421052631576,0.56,,,,0.5789473684210527,0.3684210526315789,0.64,,by_pit_news_proximity_and_direction
-0.005150016139458247,-0.010512150713380372,0.005049333519518732,-0.009774233004544948,-0.014998889603992207,0.0037323933880021327,-0.0010406905954418895,-0.01385898768084713,0.009938303575760749,10.676470588235293,0.08743431760422492,0.11738236362486844,0.042798653089676536,0.059501595224213825,0.09450992541742247,0.014508680383953955,0.1431619923855006,0.19281578298255309,0.08352823827658289,bullish_activity,0.07706155550167926,0.10961920356511799,0.047847986609195266,0.0432860882263128,0.0824551020709998,0.018241073771956086,0.13992782225416173,0.18347880109448114,0.09346654185234363,True,,218,12,34,0.391304347826087,0.45454545454545453,0.5882352941176471,0.391304347826087,0.5909090909090909,0.5588235294117647,0.5652173913043478,0.36363636363636365,0.6764705882352942,,by_pit_news_proximity_and_direction
