group,n,symbols,avg_abs_fwd_1d,median_abs_fwd_1d,p75_abs_fwd_1d,p90_abs_fwd_1d,abs_hit_fwd_1d_gt_2pct,abs_hit_fwd_1d_gt_5pct,directional_avg_fwd_1d,avg_abs_fwd_5d,median_abs_fwd_5d,p75_abs_fwd_5d,p90_abs_fwd_5d,abs_hit_fwd_5d_gt_2pct,abs_hit_fwd_5d_gt_5pct,directional_avg_fwd_5d,avg_abs_fwd_20d,median_abs_fwd_20d,p75_abs_fwd_20d,p90_abs_fwd_20d,abs_hit_fwd_20d_gt_2pct,abs_hit_fwd_20d_gt_5pct,directional_avg_fwd_20d,avg_abs_dd_5d,median_abs_dd_5d,avg_mfe_5d,median_mfe_5d,avg_5d_tradeable_excursion_proxy,median_5d_tradeable_excursion_proxy,p75_5d_tradeable_excursion_proxy
all_eligible,5616,18,0.02848489620038413,0.016132583445329862,0.034862992623302586,0.06697808096919142,0.43051089674883886,0.15737763486959627,0.0019282034608151411,0.06873619271461241,0.0399608517861208,0.0828883161167242,0.15311319559423864,0.7252985884907709,0.41784292435758236,0.009850445502314889,0.156701293511675,0.08288598152025772,0.16460079413775563,0.32840212389235524,0.8515981735159818,0.657724505327245,0.03708716484539794,0.05934490064869869,0.037816395369973665,0.07383509371567883,0.039183041373257566,0.1082095840955781,0.07586536120335957,0.13189068697607853
abnormal,1244,18,0.036870308436167974,0.021224898163367367,0.04568431451946825,0.08491726167248488,0.5254237288135594,0.22598870056497175,0.001977168345082382,0.08146083630501863,0.04435559225812974,0.09464940361050278,0.17202889095426716,0.7394822006472492,0.465210355987055,0.017594727094583904,0.18019787656060668,0.08809299825292305,0.19490513319360075,0.3975374351850355,0.8367346938775511,0.673469387755102,0.06160137381210249,0.06710829524169533,0.04194840971700475,0.0927277064571905,0.0456839483515763,0.13133204218722933,0.08966994450394328,0.161633018244058
non_abnormal,4372,18,0.026101430781678873,0.015213931279842718,0.032309032574990015,0.061663584414761566,0.40353292039458594,0.1378756595549438,0.001914285706374418,0.06507007162422963,0.03864760317423094,0.07938363736235948,0.14596810979574495,0.7212121212121212,0.4041958041958042,0.007619225910696124,0.15028796120454346,0.08132339326609173,0.15938303341902316,0.30292549175442096,0.855655122305643,0.6534269798982805,0.03039607414414435,0.05713823721655305,0.03663884566416753,0.06846506683182176,0.037864359962201055,0.10163726806539783,0.07287093942054423,0.12582781456953662
activity:return_zscore,456,18,0.03298223385903804,0.020179590236448663,0.041614250880816744,0.07949119777962577,0.506578947368421,0.20175438596491227,-0.0030829317033011063,0.07347752403616506,0.044768083480851706,0.08338179895762304,0.15455813512554722,0.7456140350877193,0.46271929824561403,0.008293314944910365,0.20266698805222733,0.08744385149789541,0.20350778516407042,0.44907938523770896,0.8564593301435407,0.6746411483253588,0.08240263826116989,0.06629689109773178,0.04140579632217989,0.07918066187481344,0.04393352125910266,0.11836216682608419,0.08413648485284037,0.1438429241691835
activity:volume_spike,429,18,0.04278010439865139,0.023485784919653918,0.0481670153734195,0.08926399980698248,0.5617715617715617,0.24475524475524477,0.0007235865752142198,0.08939997459130287,0.048387096774193505,0.09680423198892668,0.17443604564560555,0.7540983606557377,0.4894613583138173,0.016778370073879237,0.2066273672952532,0.10109034267912764,0.2192537583771057,0.44715379916150044,0.8534704370179949,0.7197943444730077,0.07089444025783584,0.07455420198754927,0.04733870967741938,0.09651382977340486,0.044158295692037886,0.1433246196011895,0.0954907161803713,0.16664343707713125
activity:sector_relative_move,456,18,0.0341719139047371,0.02067526555386956,0.04360571467867824,0.07956021863093288,0.5208791208791209,0.2043956043956044,-5.720077432102755e-05,0.07288462655895686,0.03949967083607642,0.08303871741922308,0.17113018478200198,0.7384615384615385,0.42417582417582417,0.012600959405489982,0.19236109019380332,0.08689468818886437,0.19912691006899585,0.4498218839881153,0.8384074941451991,0.6557377049180327,0.0746987498399365,0.062059666767195945,0.038699014593987835,0.08189835717332479,0.04392875492378834,0.11847847764179048,0.08166195666801235,0.14103081353903646
activity:gap,341,16,0.056567749134408415,0.03895826390419033,0.07430544837166231,0.12329488235832653,0.75,0.42857142857142855,0.010061073950678075,0.1073470923165318,0.07497579194909387,0.13771530368923796,0.2195423144034486,0.844776119402985,0.6746268656716418,0.04179852899140296,0.2442165267260976,0.13931297709923673,0.2788546539356479,0.4892050654818365,0.9138576779026217,0.8052434456928839,0.11292826438934567,0.08610842542123796,0.06294455853197822,0.14610016039927276,0.09898034131891575,0.1858225137009124,0.15126250223254145,0.22190817801887003
activity:false_breakout,173,18,0.03307943285941881,0.01570048309178751,0.04168776371308014,0.0775992205788826,0.4624277456647399,0.2138728323699422,0.0017570214694610261,0.10081542924400357,0.03575151367972562,0.0955004149742496,0.19520320017121046,0.6918604651162791,0.4069767441860465,0.024653324151435223,0.20557639575791173,0.10100810192343368,0.23588910546838787,0.5363636363636364,0.8771929824561403,0.695906432748538,0.06019033960313682,0.06792604256000162,0.039781005783919854,0.10896166465964593,0.03544905008635579,0.15126460094324834,0.08042895442359255,0.15340909090909083
activity:liquidity_sweep_high,173,18,0.03307943285941881,0.01570048309178751,0.04168776371308014,0.0775992205788826,0.4624277456647399,0.2138728323699422,0.0017570214694610261,0.10081542924400357,0.03575151367972562,0.0955004149742496,0.19520320017121046,0.6918604651162791,0.4069767441860465,0.024653324151435223,0.20557639575791173,0.10100810192343368,0.23588910546838787,0.5363636363636364,0.8771929824561403,0.695906432748538,0.06019033960313682,0.06792604256000162,0.039781005783919854,0.10896166465964593,0.03544905008635579,0.15126460094324834,0.08042895442359255,0.15340909090909083
activity:bull_trap,173,18,0.03307943285941881,0.01570048309178751,0.04168776371308014,0.0775992205788826,0.4624277456647399,0.2138728323699422,0.0017570214694610261,0.10081542924400357,0.03575151367972562,0.0955004149742496,0.19520320017121046,0.6918604651162791,0.4069767441860465,0.024653324151435223,0.20557639575791173,0.10100810192343368,0.23588910546838787,0.5363636363636364,0.8771929824561403,0.695906432748538,0.06019033960313682,0.06792604256000162,0.039781005783919854,0.10896166465964593,0.03544905008635579,0.15126460094324834,0.08042895442359255,0.15340909090909083
