symbol,bucket,date,is_abnormal,activity_type,return_zscore,volume_zscore,relative_strength_zscore,gap_pct,same_day_return,fwd_1d,fwd_5d,fwd_20d,dd_5d,mfe_5d
AAPL,mega_technology,2024-02-01,False,,,,,,0.013340563991323329,-0.005405116129722942,0.007813336187519893,-0.038531520924756646,-0.04072567697741636,0.022423204538156938
AAPL,mega_technology,2024-02-02,True,volume_spike,-0.468011,4.513694,-1.647361,-0.037461,-0.005405116129722942,0.00984665052461664,0.01614205004035507,-0.05784234597793925,-5.3806833467784365e-05,0.027979553403282287
AAPL,mega_technology,2024-02-05,False,,,,,,0.00984665052461664,0.008631713554987153,-0.0028239556692242207,-0.09356351236146632,-0.004851342710997519,0.017956095481670875
AAPL,mega_technology,2024-02-06,False,,,,,,0.008631713554987153,0.0005810882197569978,-0.022503961965134822,-0.1066032752245114,-0.03057157950343381,0.009244585314315934
AAPL,mega_technology,2024-02-07,False,,,,,,0.0005810882197569978,-0.005754712000422435,-0.027770445066258365,-0.10775566231983524,-0.03679847948893933,0.0030621403305000072
AAPL,mega_technology,2024-02-08,False,,,,,,-0.005754712000422435,0.0028143585386575243,-0.02368309260832613,-0.0934048428207307,-0.03701146983857262,0.00886788445199671
AAPL,mega_technology,2024-02-09,False,,,,,,0.0028143585386575243,-0.009001853322742837,-0.034630659253375606,-0.08525284617421236,-0.039714058776807004,-0.000953137410643401
AAPL,mega_technology,2024-02-12,False,,,,,,-0.009001853322742837,-0.011274378840502308,-0.02986908896606999,-0.07437884050227095,-0.03820464867753137,-0.0050227090569061605
AAPL,mega_technology,2024-02-13,False,,,,,,-0.011274378840502308,-0.00480977086035439,-0.014699524427150834,-0.07517293558149585,-0.027237354085603016,0.002648076091655849
AAPL,mega_technology,2024-02-14,False,,,,,,-0.00480977086035439,-0.0015748031496062298,0.001194678251425385,-0.060548465924518124,-0.022535976106434985,0.004371436329079659
AAPL,mega_technology,2024-02-15,False,,,,,,-0.0015748031496062298,-0.008430327423039286,-0.007288154030240412,-0.061133471119329985,-0.02099423474382689,0.006417926683345954
