family_key,event_key,symbol,horizon_days,event_return,control_count,control_mean_return,control_stdev_return,event_minus_control_mean,z_score_vs_controls,comparison_status
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,1,-0.007428678444347359,14,0.0024915628866191302,0.00857000694081382,-0.009920241330966488,-1.157553476849862,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,5,-0.0031615937087366985,10,0.012506402118248428,0.008723018028189335,-0.015667995826985127,-1.7961668514672762,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,1,-0.004770992366412319,14,-0.0013193532380343456,0.018626898466395796,-0.0034516391283779735,-0.18530401798264845,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,5,0.008110687022900631,10,-0.017521652779305463,0.028925956632174482,0.025632339802206094,0.8861362868011465,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLK,1,0.017630282603059433,14,0.0013118336623026655,0.016813511831346946,0.016318448940756767,0.970555652170941,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLK,5,0.03577910292973829,10,-0.0013949521161976564,0.024835296484642815,0.03717405504593595,1.4968234854342464,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,1,0.008427330481006079,14,-0.001412831222153989,0.007073121756085683,0.009840161703160068,1.3912049081713653,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,5,0.01905873201089059,10,-0.0038377651430692938,0.015163351221176529,0.02289649715395988,1.5099892378660695,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,1,0.030519605949391515,14,-0.0006181708621786908,0.028990464251101945,0.031137776811570206,1.074069616197562,comparison_available
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,5,0.06239134633957888,10,0.004445501366430493,0.04170606505845116,0.057945844973148385,1.3893865290800542,comparison_available
