family_key,event_key,symbol,control_date,horizon_days,baseline_close,forward_close,directional_return,absolute_return,path_range,control_role
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-08,1,123.37,121.93,-0.011672205560508964,0.011672205560508964,0.0075374888546648755,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-11,1,121.93,123.95,0.016566882637578884,0.016566882637578884,0.022307881571393517,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-12,1,123.95,124.75,0.006454215409439357,0.006454215409439357,0.017950786607503044,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-13,1,124.75,123.81,-0.007535070140280542,0.007535070140280542,0.013026052104208485,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-14,1,123.81,125.75,0.01566917050319039,0.01566917050319039,0.011873031257571887,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-15,1,125.75,125.5,-0.001988071570576566,0.001988071570576566,0.011053677932405526,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-19,1,125.5,126.5501,0.008367330677290896,0.008367330677290896,0.012270916334661264,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-21,1,125.61,125.01,-0.004776689754000474,0.004776689754000474,0.008040761085900794,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-22,1,125.01,126.27,0.010079193664506825,0.010079193664506825,0.004959603231741383,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-25,1,126.27,126.17,-0.000791953749900931,0.000791953749900931,0.005781262374277341,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-26,1,126.17,126.15,-0.00015851628754848246,0.00015851628754848246,0.010145042403106985,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-27,1,126.15,126.25,0.0007927070947284509,0.0007927070947284509,0.011097899326198868,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-28,1,126.25,127.6,0.010693069306930703,0.010693069306930703,0.009504950495049513,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-29,1,127.6,126.73,-0.006818181818181723,0.006818181818181723,0.008307210031347823,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-08,5,123.37,125.75,0.019291561968063586,0.019291561968063586,0.03534084461376341,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-11,5,121.93,125.5,0.0292790945624537,0.0292790945624537,0.03666037890592966,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-12,5,123.95,126.5501,0.02097700685760384,0.02097700685760384,0.03751512706736593,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-13,5,124.75,125.61,0.006893787575150245,0.006893787575150245,0.03671342685370749,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-14,5,123.81,125.01,0.009692270414344506,0.009692270414344506,0.027703739601001587,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-15,5,125.75,126.27,0.004135188866799089,0.004135188866799089,0.027037773359841144,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-19,5,125.5,126.17,0.005338645418326626,0.005338645418326626,0.027091633466135412,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-21,5,125.61,126.25,0.005095135737600565,0.005095135737600565,0.01727569461030176,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-22,5,125.01,127.6,0.02071834253259741,0.02071834253259741,0.02135829133669298,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,TLT,2016-01-25,5,126.27,126.73,0.0036429872495447047,0.0036429872495447047,0.02114516512235698,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-08,1,22.07,22.19,0.005437245129134682,0.005437245129134682,0.016311735387403603,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-11,1,22.19,22.29,0.0045065344749886105,0.0045065344749886105,0.018476791347453836,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-12,1,22.29,21.68,-0.027366532077164663,0.027366532077164663,0.0388066397487663,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-13,1,21.68,22.12,0.02029520295202958,0.02029520295202958,0.02606088560885611,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-14,1,22.12,21.46,-0.029837251356238714,0.029837251356238714,0.024819168173598527,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-15,1,21.46,21.34,-0.005591798695247063,0.005591798695247063,0.027493010251630978,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-19,1,21.34,20.96,-0.017806935332708496,0.017806935332708496,0.030927835051546393,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-21,1,20.86,21.31,0.021572387344199306,0.021572387344199306,0.01246404602109319,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-22,1,21.31,20.77,-0.025340215861098025,0.025340215861098025,0.023322383857343976,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-25,1,20.77,21.15,0.01829561868078966,0.01829561868078966,0.02792489167067902,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLF,2016-01-26,1,21.15,21.13,-0.0009456264775413725,0.0009456264775413725,0.029314420803782437,post_event_control
