symbol,release_date,horizon,event_trade_date,event_ret,event_abs,event_path,control_count,control_mean_ret,control_mean_abs,control_mean_path,surprise_sign,large_surprise_0_1pp,large_surprise_0_2pp,cpi_mom_surprise_pp,cpi_mom_abs_surprise_pp,cpi_mom_direction,cpi_mom_expectation_source,core_mom_surprise_pp,core_mom_abs_surprise_pp,core_mom_direction,core_mom_expectation_source,cpi_yoy_surprise_pp,cpi_yoy_abs_surprise_pp,cpi_yoy_direction,cpi_yoy_expectation_source,core_yoy_surprise_pp,core_yoy_abs_surprise_pp,core_yoy_direction,core_yoy_expectation_source,ret_delta,abs_delta,path_delta
TLT,2016-01-20,1,2016-01-20,0.008367330677290896,0.008367330677290896,0.012270916334661264,21,0.003189557205259496,0.006962839798430735,0.011529417388901923,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.0051777734720314,0.0014044908788601613,0.0007414989457593408
TLT,2016-01-20,5,2016-01-20,0.005338645418326626,0.005338645418326626,0.027091633466135412,21,0.018471486836377844,0.018471486836377844,0.0322199530491496,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.013132841418051218,-0.013132841418051218,-0.005128319583014185
TLT,2016-01-20,10,2016-01-20,0.02350597609561733,0.02350597609561733,0.03697211155378477,21,0.030164452633572186,0.030164452633572186,0.053464108860772144,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.006658476537954854,-0.006658476537954854,-0.016491997306987374
TLT,2016-02-19,1,2016-02-19,-0.0014485019440421132,0.0014485019440421132,0.010825646108103881,22,0.0006173212841039514,0.0076208258097361144,0.013676456746588982,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,-0.0020658232281460646,-0.006172323865694001,-0.0028508106384851004
TLT,2016-02-19,5,2016-02-19,0.0028970038880844484,0.0028970038880844484,0.02957993443622764,22,0.0006344506249695545,0.01671174039474397,0.03572750825856769,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,0.002262553263114894,-0.013814736506659521,-0.006147573822340054
TLT,2016-02-19,10,2016-02-19,-0.013112754440801955,0.013112754440801955,0.03949073721125229,22,-0.0038163805513938527,0.012742801464570054,0.043476708625762986,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,-0.009296373889408103,0.00036995297623190065,-0.0039859714145106945
TLT,2016-04-14,1,2016-04-14,-0.004415347137637138,0.004415347137637138,0.0073081607795372205,22,-0.0008458417247485275,0.006137764518392364,0.009528137527524601,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.00356950541288861,-0.0017224173807552264,-0.0022199767479873806
TLT,2016-04-14,5,2016-04-14,-0.0143879415347139,0.0143879415347139,0.02329476248477469,22,0.0005032469908272511,0.011350292067569712,0.02154000900292646,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.01489118852554115,0.003037649467144188,0.0017547534818482292
TLT,2016-04-14,10,2016-04-14,-0.020706455542022106,0.020706455542022106,0.039661997563946394,22,0.0012469740265520955,0.016397981617432934,0.03051223935708017,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.0219534295685742,0.004308473924589173,0.009149758206866223
TLT,2016-06-16,1,2016-06-16,0.003382352941176503,0.003382352941176503,0.010294117647058787,22,0.004212165245828166,0.008283585087771394,0.010243303947743053,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.0008298123046516634,-0.004901232146594891,5.081369931573404e-05
