release_date,is_abnormal,abnormal_metrics,cpi_mom,cpi_mom_zscore,cpi_mom_abnormal,core_mom,core_mom_zscore,core_mom_abnormal,cpi_yoy,cpi_yoy_zscore,cpi_yoy_abnormal,core_yoy,core_yoy_zscore,core_yoy_abnormal
2016-01-20,False,,-0.0010755534268560574,,False,0.001252860903779407,,False,0.006387247515364791,,False,0.020715072792840905,,False
2016-02-19,False,,-0.0004584435630738959,,False,0.0016683909432542166,,False,0.012375025026943876,,False,0.02145022538582464,,False
2016-03-16,False,,-0.0013296753235823022,,False,0.002265722275519799,,False,0.008472775790126619,,False,0.02222573822094165,,False
2016-04-14,False,,0.0031347962382444194,,False,0.00164148099873751,,False,0.008916160965521946,,False,0.02142426948557663,,False
2016-05-17,False,,0.0038306451612901693,,False,0.0025944134714308564,,False,0.011726257503534843,,False,0.02156654761214183,,False
2016-06-16,False,,0.0023640958693178504,,False,0.002376790197565759,,False,0.010784764621246223,,False,0.022545595974976074,,False
2016-07-15,False,,0.002775957287827202,,False,0.0016306744841929621,,False,0.010792865347959424,,False,0.022622116465067066,,False
2016-08-16,False,,-0.0005037007434789409,,False,0.0011674880827341472,,False,0.008683633430518256,,False,0.021701399624842965,,False
2016-09-16,False,,0.0018492217858316895,,False,0.0023968139321870474,,False,0.010553158595656864,,False,0.023087345614186683,,False
2016-10-18,False,,0.0026232097944252075,,False,0.0016866393208359032,,False,0.015486446201652182,,False,0.022711206825691832,,False
2016-11-17,False,,0.0023426874979268764,,False,0.0012055842663214467,,False,0.01685924966243646,,False,0.022045551507991146,,False
2016-12-15,False,,0.0011789477167711837,,False,0.0013606698188182165,,False,0.016843334719788938,,False,0.021454219398053587,,False
2017-01-18,False,,0.002524522158776188,,False,0.0017596530397103738,,False,0.020507989115119862,,False,0.02197123661300271,,False
2017-02-13,False,,0.004043076694815628,,False,0.002188700384122999,,False,0.025103933482571117,,False,0.022502092221020176,,False
2017-02-15,False,,0.004043076694815628,,False,0.002188700384122999,,False,0.025103933482571117,,False,0.022502092221020176,,False
2017-03-15,False,,0.0015926573570097524,,False,0.0021200397657175074,,False,0.028103616813294208,,False,0.022353468290497336,,False
2017-04-14,False,,-0.00046720162618951733,,False,-0.00021514115650322907,,False,0.0244119623655914,,False,0.02045845481938735,,False
2017-05-12,False,,0.001234152821740775,,False,0.0011277416475390378,,False,0.02176223471915395,,False,0.018965650108902388,,False
2017-06-14,False,,-0.0007739779600562935,,False,0.0008080341683018855,,False,0.018563431667619756,,False,0.017370931912259246,,False
