symbol,day,return_1d,abs_return_1d,path_range_1d,abs_return_z,path_range_z,anomaly_reason,nearby_event_families,nearby_event_sources
ARKG,2016-01-11,-0.051296296296296284,0.051296296296296284,0.05552910052910063,1.566908387163959,2.0190454066709993,abs_return_z;path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;legal_regulatory_investigation;option_derivatives_abnormality;sector_regulation_policy;supply_chain_disruption,alpaca_news
ARKG,2016-01-13,-0.05954935622317592,0.05954935622317592,0.057403433476394865,1.9974329995150315,2.115968660018862,abs_return_z;path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;management_change;mna_transaction;option_derivatives_abnormality;product_launch_or_failure;sector_demand_shock;sector_regulation_policy;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news
ARKG,2016-01-28,-0.059225512528473745,0.059225512528473745,0.03189066059225505,1.9805395463765292,0.796682802388479,abs_return_z,analyst_rating_or_price_target_change;buyback_or_capital_return;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;geopolitical_or_fiscal_shock;management_change;mna_transaction;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;sector_regulation_policy;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news;trading_economics_calendar_web
ARKW,2016-01-07,-0.037634408602150504,0.037634408602150504,0.030380824372759883,1.2556018166744194,0.8825960797310397,abs_return_z,analyst_rating_or_price_target_change;commodity_or_input_cost_shock;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;equity_offering_dilution;fomc_rates_policy;geopolitical_or_fiscal_shock;management_change;mna_transaction;nfp_employment_release;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;sector_regulation_policy;supply_chain_disruption,alpaca_news;trading_economics_calendar_web
ARKW,2016-01-11,-0.022577610536218318,0.022577610536218318,0.03621825023518342,0.19727745766319546,1.2757047336137461,path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;legal_regulatory_investigation;option_derivatives_abnormality;sector_regulation_policy;supply_chain_disruption,alpaca_news
ARKW,2016-01-15,-0.038112522686025274,0.038112522686025274,0.03659036356185235,1.2892078847863302,1.3007638902328087,abs_return_z;path_range_z,analyst_rating_or_price_target_change;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;mna_transaction;product_launch_or_failure;sector_demand_shock;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news;trading_economics_calendar_web
ARKW,2016-01-19,-0.03319638871982156,0.03319638871982156,0.05528504767701358,0.9436586979131955,2.5597164286419773,path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;cpi_inflation_release;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;option_derivatives_abnormality;sector_demand_shock;sector_regulation_policy,alpaca_news;trading_economics_calendar_web
ARKW,2016-01-21,0.054624121146565896,0.054624121146565896,0.00919415900486759,2.4497884265776695,-0.544173475776028,abs_return_z,analyst_rating_or_price_target_change;bankruptcy_or_restructuring;cpi_inflation_release;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;insider_or_ownership_change;option_derivatives_abnormality;product_launch_or_failure;sector_demand_shock;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news;trading_economics_calendar_web
CIBR,2016-01-13,-0.013958797564041059,0.013958797564041059,0.04343681503834261,-0.1744433967721466,1.9609156219919597,path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;management_change;mna_transaction;option_derivatives_abnormality;product_launch_or_failure;sector_demand_shock;sector_regulation_policy;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news
CIBR,2016-01-14,0.010467980295566504,0.010467980295566504,0.03940886699507382,-0.5805457279514243,1.5065075376792478,path_range_z,analyst_rating_or_price_target_change;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;management_change;mna_transaction;option_derivatives_abnormality;product_launch_or_failure;sector_demand_shock;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news;trading_economics_calendar_web
CIBR,2016-01-15,-0.026203534430225495,0.026203534430225495,0.02498476538695907,1.2500414168392273,-0.12073003074684162,abs_return_z,analyst_rating_or_price_target_change;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;mna_transaction;product_launch_or_failure;sector_demand_shock;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news;trading_economics_calendar_web
CIBR,2016-01-20,-0.010132995566814351,0.010132995566814351,0.04471184293856868,-0.6195159944515537,2.1047563516546006,path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;cpi_inflation_release;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;option_derivatives_abnormality;sector_demand_shock;sector_regulation_policy,alpaca_news;trading_economics_calendar_web
CIBR,2016-01-22,0.02680280791320988,0.02680280791320988,0.014039566049776572,1.3197575720363834,-1.3554994492703392,abs_return_z,analyst_rating_or_price_target_change;bankruptcy_or_restructuring;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;insider_or_ownership_change;option_derivatives_abnormality;product_launch_or_failure;sector_demand_shock;supply_chain_disruption;treasury_yield_curve_shock,alpaca_news
CIBR,2016-01-29,0.03079947575360431,0.03079947575360431,0.02293577981651374,1.7847077547890553,-0.3518838584151001,abs_return_z,analyst_rating_or_price_target_change;customer_contract_win_loss;equity_offering_dilution;geopolitical_or_fiscal_shock;mna_transaction;option_derivatives_abnormality;price_action_pattern;product_launch_or_failure;sector_demand_shock;sector_regulation_policy;supply_chain_disruption,alpaca_news;trading_economics_calendar_web
CPER,2016-01-11,-0.020081994657698332,0.020081994657698332,0.10491149487719403,-0.047296146219707215,2.2724130289292392,path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;legal_regulatory_investigation;option_derivatives_abnormality;sector_regulation_policy;supply_chain_disruption,alpaca_news
CPER,2016-01-19,0.10948342328450278,0.10948342328450278,0.11256746337702396,2.90900571048801,2.484122065312276,abs_return_z;path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;cpi_inflation_release;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;option_derivatives_abnormality;sector_demand_shock;sector_regulation_policy,alpaca_news;trading_economics_calendar_web
CPER,2016-01-20,-0.07991660875608064,0.07991660875608064,0.0,1.9312984184470394,-0.6286845247568922,abs_return_z,analyst_rating_or_price_target_change;buyback_or_capital_return;cpi_inflation_release;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;geopolitical_or_fiscal_shock;legal_regulatory_investigation;option_derivatives_abnormality;sector_demand_shock;sector_regulation_policy,alpaca_news;trading_economics_calendar_web
DBA,2016-01-11,-0.015394932935916539,0.015394932935916539,0.011922503725782338,1.9032011182789235,1.5568956923816566,abs_return_z;path_range_z,analyst_rating_or_price_target_change;buyback_or_capital_return;credit_liquidity_stress;customer_contract_win_loss;earnings_call_narrative_residual;legal_regulatory_investigation;option_derivatives_abnormality;sector_regulation_policy;supply_chain_disruption,alpaca_news
