attempted_contract_count,avg_event_abs_fwd_10d,avg_event_abs_fwd_14d,avg_event_abs_fwd_1d,avg_event_abs_fwd_5d,avg_event_directional_fwd_10d,avg_event_directional_fwd_14d,avg_event_directional_fwd_1d,avg_event_directional_fwd_5d,avg_event_mae_10d,avg_event_mae_14d,avg_event_mae_1d,avg_event_mae_5d,avg_event_mfe_10d,avg_event_mfe_14d,avg_event_mfe_1d,avg_event_mfe_5d,avg_event_path_range_10d,avg_event_path_range_14d,avg_event_path_range_1d,avg_event_path_range_5d,complete_option_event_count,failed_contract_count,n_symbols,n_windows,option_event_count,positive_rate_event_abs_fwd_10d,positive_rate_event_abs_fwd_14d,positive_rate_event_abs_fwd_1d,positive_rate_event_abs_fwd_5d,positive_rate_event_directional_fwd_10d,positive_rate_event_directional_fwd_14d,positive_rate_event_directional_fwd_1d,positive_rate_event_directional_fwd_5d,positive_rate_event_mae_10d,positive_rate_event_mae_14d,positive_rate_event_mae_1d,positive_rate_event_mae_5d,positive_rate_event_mfe_10d,positive_rate_event_mfe_14d,positive_rate_event_mfe_1d,positive_rate_event_mfe_5d,positive_rate_event_path_range_10d,positive_rate_event_path_range_14d,positive_rate_event_path_range_1d,positive_rate_event_path_range_5d,sample,successful_contract_count,verification_status,window_role
8,0.13832048897156524,0.17804942864735573,0.006216840923114558,0.025680331875503754,0.13832048897156524,0.17804942864735573,-0.000680206230780328,0.01795712176058986,-0.03263353707148564,-0.03263353707148564,-0.01806856432404602,-0.022603851754923854,0.14589423332447504,0.204889715652405,0.010062904577026577,0.04411679851679373,0.17852777039596068,0.2375232527238905,0.028131468901072574,0.06672065027171753,89,0,4,4,96,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,by_window_role,8,,earnings_adjacent_excluded
4,,,0.007404678414487997,0.05040794443920249,,,0.007404678414487997,-0.05040794443920249,,,-0.01756081845252022,-0.058017100109010566,,,0.013708591196405995,0.01639271558265798,,,0.03126940964892621,0.0744098156916686,45,0,2,2,48,,,1.0,1.0,,,1.0,0.0,,,0.0,0.0,,,1.0,1.0,,,1.0,1.0,by_window_role,4,,exact_earnings_date
12,0.019090495453485484,0.055173339120783677,0.014994074486616457,0.0362477547529698,0.001059405036499289,0.035120206904197177,0.009852247537896005,0.007309311169217754,-0.031199851687065988,-0.03851072781251391,-0.010894511540790111,-0.024321951417453098,0.0447295230230626,0.06722436145394561,0.015033644216890055,0.042359262029173984,0.07592937471012859,0.1057350892664595,0.02592815575768015,0.06668121344662709,133,0,2,6,144,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.5,0.0,0.0,0.16666666666666666,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,by_window_role,12,,missing_symbol_earnings_calendar
58,0.08404687445147753,0.1144316656057132,0.01779496351762735,0.06627291435777691,0.046956801521715226,0.08577051794790416,0.0003311228557865281,0.03738124108860392,-0.05949983740381896,-0.0614032861359556,-0.01655790313283108,-0.042869553585364685,0.09210950792129392,0.1342290324868344,0.01900592592564918,0.07369698491204414,0.15160934532511283,0.19563231862279,0.03556382905848025,0.11656653849740882,519,5,10,24,595,1.0,1.0,1.0,1.0,0.5263157894736842,0.631578947368421,0.375,0.5833333333333334,0.0,0.0,0.08333333333333333,0.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,by_window_role,53,,same_symbol_non_earnings_control_candidate
8,0.13832048897156524,0.17804942864735573,0.006216840923114558,0.025680331875503754,0.13832048897156524,0.17804942864735573,-0.000680206230780328,0.01795712176058986,-0.03263353707148564,-0.03263353707148564,-0.01806856432404602,-0.022603851754923854,0.14589423332447504,0.204889715652405,0.010062904577026577,0.04411679851679373,0.17852777039596068,0.2375232527238905,0.028131468901072574,0.06672065027171753,89,0,4,4,96,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,by_window_role_and_verification,8,verified_option_abnormality_sampled_contracts,earnings_adjacent_excluded
4,,,0.007404678414487997,0.05040794443920249,,,0.007404678414487997,-0.05040794443920249,,,-0.01756081845252022,-0.058017100109010566,,,0.013708591196405995,0.01639271558265798,,,0.03126940964892621,0.0744098156916686,45,0,2,2,48,,,1.0,1.0,,,1.0,0.0,,,0.0,0.0,,,1.0,1.0,,,1.0,1.0,by_window_role_and_verification,4,verified_option_abnormality_sampled_contracts,exact_earnings_date
12,0.019090495453485484,0.055173339120783677,0.014994074486616457,0.0362477547529698,0.001059405036499289,0.035120206904197177,0.009852247537896005,0.007309311169217754,-0.031199851687065988,-0.03851072781251391,-0.010894511540790111,-0.024321951417453098,0.0447295230230626,0.06722436145394561,0.015033644216890055,0.042359262029173984,0.07592937471012859,0.1057350892664595,0.02592815575768015,0.06668121344662709,133,0,2,6,144,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.5,0.0,0.0,0.16666666666666666,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,by_window_role_and_verification,12,verified_option_abnormality_sampled_contracts,missing_symbol_earnings_calendar
14,0.05885835054909788,0.05199316804558085,0.009425923264744748,0.025599900343331483,-0.05885835054909788,-0.05199316804558085,0.007698747570002181,-0.025599900343331483,-0.0942464538713998,-0.09769347854483956,-0.013077536386895683,-0.0435785122982949,0.019637652795551963,0.019637652795551963,0.015370537994857214,0.018408897280842718,0.1138841066669518,0.11733113134039153,0.028448074381752907,0.061987409579137655,56,5,2,3,84,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,by_window_role_and_verification,9,partial_contract_coverage_with_verified_option_abnormality,same_symbol_non_earnings_control_candidate
44,0.08701023020469867,0.1217773712010229,0.01899054069661058,0.07208334493126911,0.05940564294181089,0.10197801041772593,-0.0007213949605299937,0.04637854700745184,-0.05541200017233886,-0.057133851734910424,-0.01705509838225042,-0.04276827376923179,0.10063560852432239,0.14771037127404416,0.019525267058619462,0.08159528314507292,0.1560476086966612,0.20484422300895455,0.036580365440869865,0.1243635569143047,463,0,10,21,511,1.0,1.0,1.0,1.0,0.5882352941176471,0.7058823529411765,0.38095238095238093,0.6666666666666666,0.0,0.0,0.09523809523809523,0.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,by_window_role_and_verification,44,verified_option_abnormality_sampled_contracts,same_symbol_non_earnings_control_candidate
