control_abs_fwd_10d,control_abs_fwd_14d,control_abs_fwd_1d,control_abs_fwd_5d,control_date,control_directional_fwd_10d,control_directional_fwd_14d,control_directional_fwd_1d,control_directional_fwd_5d,control_fwd_10d,control_fwd_14d,control_fwd_1d,control_fwd_5d,control_mae_10d,control_mae_14d,control_mae_1d,control_mae_5d,control_mfe_10d,control_mfe_14d,control_mfe_1d,control_mfe_5d,control_path_range_10d,control_path_range_14d,control_path_range_1d,control_path_range_5d,control_prior_1d_return,direction_hypothesis,direction_sign,event_count,event_date,event_prior_1d_return,match_score,symbol
0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,2026-04-21,-0.06766352331216896,-0.09959800127737917,-0.026298981853702497,-0.0170567682308298,0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,-0.004132697148439002,-0.004132697148439002,0.002629898185370294,-0.004132697148439002,0.07908479543149127,0.10741255588533627,0.028440470376075444,0.036067175113648986,0.08321749257993025,0.1115452530337754,0.025810572190705205,0.04019987226208809,-0.025196850393700787,bearish_activity,-1,6,2026-04-17,0.025930144267274358,0.010247118457602407,AAPL
0.05249478346816994,0.07918146209320209,0.0009517882637184449,0.010982172273675705,2026-04-22,-0.05249478346816994,-0.07918146209320209,-0.0009517882637184449,0.010982172273675705,0.05249478346816994,0.07918146209320209,0.0009517882637184449,-0.010982172273675705,-0.029651865138924594,-0.029651865138924594,-0.005564300618662532,-0.029651865138924594,0.05439835999560705,0.08090200241607781,0.00951788263718556,0.00951788263718556,0.08405022513453153,0.11055386755500234,0.015082183255848022,0.03916974777611007,0.026298981853702497,bearish_activity,-1,6,2026-04-17,0.025930144267274358,0.011450923963778802,AAPL
0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,2026-04-16,-0.030182232346241733,-0.09153378891419894,-0.025930144267274358,-0.03807896735003813,0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,0.0063401670463174575,0.0063401670463174575,0.012604403948367704,0.007593014426727329,0.04783599088838275,0.09350797266514799,0.03378891419893715,0.04696279422930916,0.04149582384206533,0.0871678056188306,0.021184510250569416,0.03936977980258165,-0.011372593176444235,bearish_activity,-1,6,2026-04-17,0.025930144267274358,0.019117516982947627,AAPL
0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,2026-04-21,0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,-0.004132697148439002,-0.004132697148439002,0.002629898185370294,-0.004132697148439002,0.07908479543149127,0.10741255588533627,0.028440470376075444,0.036067175113648986,0.08321749257993025,0.1115452530337754,0.025810572190705205,0.04019987226208809,-0.025196850393700787,bullish_activity,1,10,2026-04-17,0.025930144267274358,0.010247118457602407,AAPL
0.05249478346816994,0.07918146209320209,0.0009517882637184449,0.010982172273675705,2026-04-22,0.05249478346816994,0.07918146209320209,0.0009517882637184449,-0.010982172273675705,0.05249478346816994,0.07918146209320209,0.0009517882637184449,-0.010982172273675705,-0.029651865138924594,-0.029651865138924594,-0.005564300618662532,-0.029651865138924594,0.05439835999560705,0.08090200241607781,0.00951788263718556,0.00951788263718556,0.08405022513453153,0.11055386755500234,0.015082183255848022,0.03916974777611007,0.026298981853702497,bullish_activity,1,10,2026-04-17,0.025930144267274358,0.011450923963778802,AAPL
0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,2026-04-16,0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,0.0063401670463174575,0.0063401670463174575,0.012604403948367704,0.007593014426727329,0.04783599088838275,0.09350797266514799,0.03378891419893715,0.04696279422930916,0.04149582384206533,0.0871678056188306,0.021184510250569416,0.03936977980258165,-0.011372593176444235,bullish_activity,1,10,2026-04-17,0.025930144267274358,0.019117516982947627,AAPL
0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,2026-04-21,,,,,0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,-0.004132697148439002,-0.004132697148439002,0.002629898185370294,-0.004132697148439002,0.07908479543149127,0.10741255588533627,0.028440470376075444,0.036067175113648986,0.08321749257993025,0.1115452530337754,0.025810572190705205,0.04019987226208809,-0.025196850393700787,bullish_activity_or_put_selling,0,2,2026-04-17,0.025930144267274358,0.010247118457602407,AAPL
0.05249478346816994,0.07918146209320209,0.0009517882637184449,0.010982172273675705,2026-04-22,,,,,0.05249478346816994,0.07918146209320209,0.0009517882637184449,-0.010982172273675705,-0.029651865138924594,-0.029651865138924594,-0.005564300618662532,-0.029651865138924594,0.05439835999560705,0.08090200241607781,0.00951788263718556,0.00951788263718556,0.08405022513453153,0.11055386755500234,0.015082183255848022,0.03916974777611007,0.026298981853702497,bullish_activity_or_put_selling,0,2,2026-04-17,0.025930144267274358,0.011450923963778802,AAPL
0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,2026-04-16,,,,,0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,0.0063401670463174575,0.0063401670463174575,0.012604403948367704,0.007593014426727329,0.04783599088838275,0.09350797266514799,0.03378891419893715,0.04696279422930916,0.04149582384206533,0.0871678056188306,0.021184510250569416,0.03936977980258165,-0.011372593176444235,bullish_activity_or_put_selling,0,2,2026-04-17,0.025930144267274358,0.019117516982947627,AAPL
0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,2026-04-21,,,,,0.06766352331216896,0.09959800127737917,0.026298981853702497,0.0170567682308298,-0.004132697148439002,-0.004132697148439002,0.002629898185370294,-0.004132697148439002,0.07908479543149127,0.10741255588533627,0.028440470376075444,0.036067175113648986,0.08321749257993025,0.1115452530337754,0.025810572190705205,0.04019987226208809,-0.025196850393700787,mixed_or_conflicting_activity,0,4,2026-04-17,0.025930144267274358,0.010247118457602407,AAPL
0.05249478346816994,0.07918146209320209,0.0009517882637184449,0.010982172273675705,2026-04-22,,,,,0.05249478346816994,0.07918146209320209,0.0009517882637184449,-0.010982172273675705,-0.029651865138924594,-0.029651865138924594,-0.005564300618662532,-0.029651865138924594,0.05439835999560705,0.08090200241607781,0.00951788263718556,0.00951788263718556,0.08405022513453153,0.11055386755500234,0.015082183255848022,0.03916974777611007,0.026298981853702497,mixed_or_conflicting_activity,0,4,2026-04-17,0.025930144267274358,0.011450923963778802,AAPL
0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,2026-04-16,,,,,0.030182232346241733,0.09153378891419894,0.025930144267274358,0.03807896735003813,0.0063401670463174575,0.0063401670463174575,0.012604403948367704,0.007593014426727329,0.04783599088838275,0.09350797266514799,0.03378891419893715,0.04696279422930916,0.04149582384206533,0.0871678056188306,0.021184510250569416,0.03936977980258165,-0.011372593176444235,mixed_or_conflicting_activity,0,4,2026-04-17,0.025930144267274358,0.019117516982947627,AAPL
0.013843618384911105,0.07423548800585977,0.025196850393700787,0.019923091008972715,2026-04-20,-0.013843618384911105,-0.07423548800585977,0.025196850393700787,0.019923091008972715,0.013843618384911105,0.07423548800585977,-0.025196850393700787,-0.019923091008972715,-0.029225416590368147,-0.029225416590368147,-0.02801684673136795,-0.029225416590368147,0.051895257278886664,0.07950924739058762,-0.0009155832265153041,0.009961545504486358,0.08112067386925484,0.10873466398095585,0.027101263504852716,0.03918696209485438,0.010435554897679777,bearish_activity,-1,4,2026-04-24,-0.008667666313133204,0.010499361585575864,AAPL
0.05123797681307818,0.09304026624730288,0.008667666313133204,0.007607065793804546,2026-04-23,-0.05123797681307818,-0.09304026624730288,0.008667666313133204,0.007607065793804546,0.05123797681307818,0.09304026624730288,-0.008667666313133204,-0.007607065793804546,-0.03057455290202249,-0.03057455290202249,-0.013824379182971969,-0.03057455290202249,0.06839044728083965,0.10053761474600442,-0.0013531799729363803,0.009399114947152842,0.09896500018286217,0.131112167648027,0.012471199210035566,0.03997366784917532,0.0009517882637184449,bearish_activity,-1,4,2026-04-24,-0.008667666313133204,0.01058642295106126,AAPL
0.08898821617228792,,0.001994754534372478,0.04975804366296055,2026-04-28,-0.08898821617228792,,0.001994754534372478,-0.04975804366296055,0.08898821617228792,,-0.001994754534372478,0.04975804366296055,-0.013556942853976461,,-0.013556942853976461,-0.013556942853976461,0.09072439141516764,,0.001219016659894434,0.060987772893502434,0.10428133426914397,,0.014775959513870934,0.07454471574747888,0.011584021523859178,bearish_activity,-1,4,2026-04-24,-0.008667666313133204,0.011045561349379463,AAPL
0.013843618384911105,0.07423548800585977,0.025196850393700787,0.019923091008972715,2026-04-20,,,,,0.013843618384911105,0.07423548800585977,-0.025196850393700787,-0.019923091008972715,-0.029225416590368147,-0.029225416590368147,-0.02801684673136795,-0.029225416590368147,0.051895257278886664,0.07950924739058762,-0.0009155832265153041,0.009961545504486358,0.08112067386925484,0.10873466398095585,0.027101263504852716,0.03918696209485438,0.010435554897679777,bearish_activity_or_call_selling,0,1,2026-04-24,-0.008667666313133204,0.010499361585575864,AAPL
0.05123797681307818,0.09304026624730288,0.008667666313133204,0.007607065793804546,2026-04-23,,,,,0.05123797681307818,0.09304026624730288,-0.008667666313133204,-0.007607065793804546,-0.03057455290202249,-0.03057455290202249,-0.013824379182971969,-0.03057455290202249,0.06839044728083965,0.10053761474600442,-0.0013531799729363803,0.009399114947152842,0.09896500018286217,0.131112167648027,0.012471199210035566,0.03997366784917532,0.0009517882637184449,bearish_activity_or_call_selling,0,1,2026-04-24,-0.008667666313133204,0.01058642295106126,AAPL
0.08898821617228792,,0.001994754534372478,0.04975804366296055,2026-04-28,,,,,0.08898821617228792,,-0.001994754534372478,0.04975804366296055,-0.013556942853976461,,-0.013556942853976461,-0.013556942853976461,0.09072439141516764,,0.001219016659894434,0.060987772893502434,0.10428133426914397,,0.014775959513870934,0.07454471574747888,0.011584021523859178,bearish_activity_or_call_selling,0,1,2026-04-24,-0.008667666313133204,0.011045561349379463,AAPL
