avg_delta_abs_fwd_10d,avg_delta_abs_fwd_14d,avg_delta_abs_fwd_1d,avg_delta_abs_fwd_5d,avg_delta_directional_fwd_10d,avg_delta_directional_fwd_14d,avg_delta_directional_fwd_1d,avg_delta_directional_fwd_5d,avg_delta_mae_10d,avg_delta_mae_14d,avg_delta_mae_1d,avg_delta_mae_5d,avg_delta_mfe_10d,avg_delta_mfe_14d,avg_delta_mfe_1d,avg_delta_mfe_5d,avg_delta_path_range_10d,avg_delta_path_range_14d,avg_delta_path_range_1d,avg_delta_path_range_5d,control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_1d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_1d,control_avg_directional_fwd_5d,control_avg_mae_10d,control_avg_mae_14d,control_avg_mae_1d,control_avg_mae_5d,control_avg_mfe_10d,control_avg_mfe_14d,control_avg_mfe_1d,control_avg_mfe_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_1d,control_avg_path_range_5d,direction_hypothesis,event_avg_abs_fwd_10d,event_avg_abs_fwd_14d,event_avg_abs_fwd_1d,event_avg_abs_fwd_5d,event_avg_directional_fwd_10d,event_avg_directional_fwd_14d,event_avg_directional_fwd_1d,event_avg_directional_fwd_5d,event_avg_mae_10d,event_avg_mae_14d,event_avg_mae_1d,event_avg_mae_5d,event_avg_mfe_10d,event_avg_mfe_14d,event_avg_mfe_1d,event_avg_mfe_5d,event_avg_path_range_10d,event_avg_path_range_14d,event_avg_path_range_1d,event_avg_path_range_5d,n_event_count_sum,n_symbols,n_windows,positive_delta_rate_abs_fwd_10d,positive_delta_rate_abs_fwd_14d,positive_delta_rate_abs_fwd_1d,positive_delta_rate_abs_fwd_5d,positive_delta_rate_directional_fwd_10d,positive_delta_rate_directional_fwd_14d,positive_delta_rate_directional_fwd_1d,positive_delta_rate_directional_fwd_5d,positive_delta_rate_mae_10d,positive_delta_rate_mae_14d,positive_delta_rate_mae_1d,positive_delta_rate_mae_5d,positive_delta_rate_mfe_10d,positive_delta_rate_mfe_14d,positive_delta_rate_mfe_1d,positive_delta_rate_mfe_5d,positive_delta_rate_path_range_10d,positive_delta_rate_path_range_14d,positive_delta_rate_path_range_1d,positive_delta_rate_path_range_5d,sample,symbol
-0.0066777815020885745,-0.017723243104545747,-0.008255926057257989,0.013357193614250671,0.007805446343204524,0.021761657394780125,-0.0020765122133011463,-0.012699997492658266,-0.004165519473293203,0.0013789406319340356,-0.00018796436917499086,-0.0011478577473982977,-0.007588086286650314,-0.0162732843062125,0.0005410797267299204,0.014048384834929166,-0.0034225668133571136,-0.01765222493814651,0.0007290440959049135,0.015196242582327461,0.10515455893268212,0.1305030334517166,0.024689885353065315,0.04436805571370826,-0.07913261076562769,-0.11130775612742513,-0.0013310047030829018,-0.013713468886260304,-0.048907679874850375,-0.05791783214819146,-0.01607055943079752,-0.03775214944205881,0.1166771997899244,0.15209560720372234,0.017331834023862142,0.04966911933102874,0.16558487966477475,0.2100134393519138,0.033402393454659646,0.08742126877308753,bearish_activity,0.08191051700920904,0.11630168421840352,0.016433959295807325,0.05772524932795893,-0.0531094251750031,-0.0932699133183894,-0.003407516916384048,-0.02641346637891857,-0.055102981219273,-0.05837343273989239,-0.016258523799972512,-0.0389000071894571,0.09340512022421311,0.13937775019843132,0.01787291375059206,0.0637175041659579,0.14850810144348608,0.19775118293832372,0.03413143755056456,0.102617511355415,170,12,32,0.35,0.3157894736842105,0.3125,0.53125,0.6,0.42105263157894735,0.53125,0.40625,0.45,0.5789473684210527,0.53125,0.53125,0.45,0.47368421052631576,0.53125,0.65625,0.5,0.3157894736842105,0.4375,0.625,window_weighted_by_direction,
-0.0036781648884197157,-0.0050884311563200125,-0.007557198616568801,0.018452766284875355,,,,,-0.004536516853963905,0.00405511768080708,0.0009874192470155163,-0.0013243387681690514,-0.0035245663436834196,-0.006570329462399771,0.0016008189952858437,0.02059627308361063,0.0010119505102804726,-0.010625447143206858,0.0006133997482703386,0.021920611851779667,0.1058702146217405,0.11681157002046927,0.024886804679156008,0.04050513210841687,,,,,-0.052213835904346376,-0.06252234984904714,-0.016280314705144246,-0.038886260308402205,0.1147843007002726,0.13759187486014102,0.016768237927625256,0.046631278043405715,0.16699813660461899,0.20011422470918813,0.033048552632769485,0.08551753835180792,bearish_activity_or_call_selling,0.08225412963379296,0.11172313886414927,0.017329606062587207,0.05895789839329223,,,,,-0.055645750181776255,-0.05846723216824006,-0.01529289545812873,-0.04021059907657125,0.09104464031582632,0.13102154539774122,0.0183690569229111,0.06722755112701634,0.14669039049760255,0.1894887775659813,0.03366195238103982,0.10743815020358757,66,10,26,0.42105263157894735,0.47368421052631576,0.3076923076923077,0.5769230769230769,,,,,0.42105263157894735,0.6842105263157895,0.6538461538461539,0.5384615384615384,0.42105263157894735,0.5263157894736842,0.5769230769230769,0.6538461538461539,0.5789473684210527,0.3684210526315789,0.46153846153846156,0.6538461538461539,window_weighted_by_direction,
-0.005150016139458247,-0.010512150713380372,-0.008732195204428573,0.013377031437835103,-0.009774233004544948,-0.014998889603992207,0.00028066066731747966,0.012556027630267778,-0.004888275931544897,0.0028794146590442283,-0.0009209458417490463,-0.002298839401582316,-0.005928966526986774,-0.010979573021802906,-0.00020535065273464133,0.014638983316201637,-0.0010406905954418895,-0.01385898768084713,0.0007155951890144066,0.016937822717783945,0.09954417323902967,0.11738236362486844,0.024418739858303527,0.04276906823726164,0.07240952864130462,0.09450992541742247,0.002200487751273189,0.01482907100293947,-0.04683579581785372,-0.05647091078458229,-0.014921309243008407,-0.035461126615189666,0.11037502074434088,0.1363448721979708,0.017668134805646423,0.049044789697616734,0.1572108165621946,0.19281578298255309,0.03258944404865481,0.08450591631280639,bullish_activity,0.07706155550167926,0.10961920356511799,0.015686544653874954,0.05614609967509674,0.0432860882263128,0.0824551020709998,0.002481148418590668,0.027385098633207247,-0.05240811647716508,-0.0552519873646602,-0.015842255084757454,-0.037759966016771986,0.08751970577699665,0.12822681372982095,0.017462784152911782,0.06368377301381838,0.13992782225416173,0.18347880109448114,0.03330503923766922,0.10144373903059034,222,12,35,0.391304347826087,0.45454545454545453,0.2857142857142857,0.6,0.391304347826087,0.5909090909090909,0.45714285714285713,0.5714285714285714,0.43478260869565216,0.6363636363636364,0.5142857142857142,0.5142857142857142,0.43478260869565216,0.5,0.5428571428571428,0.6571428571428571,0.5652173913043478,0.36363636363636365,0.45714285714285713,0.6857142857142857,window_weighted_by_direction,
-0.004949537248548685,-0.018928365851040036,-0.007907489090101753,0.015228595233242456,,,,,-0.008778936649237314,-0.00046539096614428273,-0.0020957418651251234,-0.0017350166968879042,-0.0074126042484524346,-0.021949783648367405,-0.0006904409074330929,0.018864787884159608,0.001366332400784864,-0.021484392682223102,0.0014053009576920328,0.02059980458104751,0.11605736689659134,0.1468632809095813,0.02631572643011705,0.04802089662840522,,,,,-0.045140081639435385,-0.05495672807101956,-0.013975519227259136,-0.03633581849517152,0.13026342275521458,0.17092139647041074,0.02042315347059575,0.054417072573962326,0.17540350439464994,0.22587812454143028,0.03439867269785486,0.09075289106913384,bullish_activity_or_put_selling,0.08805873009409644,0.12816792572646882,0.018408237340015295,0.06324949186164767,,,,,-0.05430931831547524,-0.0559833913867242,-0.016071261092384256,-0.03807083519205943,0.10055603658118374,0.14819312172241106,0.019732712563162655,0.07328186045812193,0.15486535489665898,0.2041765131091353,0.0358039736555469,0.11135269565018135,65,12,26,0.35294117647058826,0.4375,0.3076923076923077,0.5384615384615384,,,,,0.35294117647058826,0.5,0.5384615384615384,0.5384615384615384,0.4117647058823529,0.4375,0.5384615384615384,0.6923076923076923,0.5882352941176471,0.3125,0.5384615384615384,0.6538461538461539,window_weighted_by_direction,
-0.007455492110742935,-0.013534549414916979,-0.007952391320403839,0.013342485274301123,,,,,-0.005589044684915581,0.0010463321328211621,-0.00031208540546013826,-0.0025700862457472043,-0.0071534244971031774,-0.013735643979346181,4.421806047248391e-05,0.013828823119397078,-0.0015643798121876063,-0.014781976112167335,0.0003563034659326284,0.016398909365144272,0.10018723280891374,0.11639813607757045,0.024269222626973317,0.04246161831524825,,,,,-0.047698486494729755,-0.05812549571707217,-0.014838728357194542,-0.03715945367318858,0.11103316090700706,0.13571345302195262,0.01764760846771073,0.0475424083364949,0.15873164740173681,0.19383894873902474,0.03248633682490525,0.08470186200968348,mixed_or_conflicting_activity,0.07275011288660935,0.10412586969529068,0.01631683130656948,0.05580410358954937,,,,,-0.05457810075742714,-0.05742197164492225,-0.015150813762654678,-0.03972953991893578,0.08386951054768847,0.12257604622024507,0.017691826528183213,0.061371231455891975,0.1384476113051156,0.17999801786516734,0.03284264029083788,0.10110077137482774,263,12,33,0.34782608695652173,0.4090909090909091,0.30303030303030304,0.5454545454545454,,,,,0.391304347826087,0.5909090909090909,0.5757575757575758,0.48484848484848486,0.391304347826087,0.45454545454545453,0.5454545454545454,0.6060606060606061,0.5217391304347826,0.3181818181818182,0.45454545454545453,0.6363636363636364,window_weighted_by_direction,
0.008662193382874918,-0.004946739791793796,-0.0025915371793348387,0.00020423620793878308,-0.008662193382874918,0.004946739791793796,0.010985030338263443,-0.011203014285745154,-0.0037964188308458055,-0.0010725785154759955,-0.00652739790144399,-0.0039028680461332924,0.009765235114641481,0.0036189563488446264,-0.011272407518408523,0.012301489728916795,0.01356165394548721,0.004691534864320605,-0.00474500961696454,0.016204357775050044,0.0513216334334853,0.08430791888268117,0.014251165529270896,0.02766825738008046,-0.0513216334334853,-0.08430791888268117,-0.00628243858678057,-0.01666947930227409,-0.021084100333798556,-0.02289999387737843,-0.0070471878794152116,-0.015703616487640158,0.061724924697466245,0.08828875904663151,0.013524728022125232,0.03180085796220903,0.08280902503126475,0.11118875292400994,0.020571915901540446,0.04750447444984917,bearish_activity,0.05939725179901789,0.0819244074856269,0.011659628349936058,0.027872493588019243,-0.05939725179901789,-0.0819244074856269,0.004702591751482872,-0.027872493588019243,-0.020596636762081344,-0.020596636762081344,-0.013574585780859202,-0.01960648453377345,0.07515344216303732,0.09560109371075298,0.0022523205037167093,0.04410234769112583,0.09575007892511855,0.11619773047283437,0.015826906284575906,0.06370883222489922,21,1,3,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,1.0,0.5,0.0,0.6666666666666666,1.0,0.5,0.0,0.6666666666666666,window_weighted_by_symbol_direction,AAPL
0.030765435610778193,0.01652444855776891,0.0007747189273697996,0.007735385009170148,,,,,0.0023538757232177306,0.007801556353957351,-0.0036323721361325063,0.0023538757232177306,0.017097817684947073,0.020136681083995023,-0.009610978753766153,0.03283498568270993,0.014743941961729234,0.012335124730037533,-0.005978606617633749,0.030481109959492096,0.0513566037900924,0.08363787712658133,0.01195309041373549,0.02576273348857927,,,,,-0.024452304115455698,-0.02989998474619532,-0.01846605625610546,-0.024452304115455698,0.07033669865829799,0.09002343106829602,-0.0003499155131857501,0.02678281111504721,0.09478900277375367,0.11992341581449142,0.01811614074291974,0.05123511523050286,bearish_activity_or_call_selling,0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,,,,,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,-0.022098428392237968,0.08743451634324506,0.11016011215229105,-0.009960894266951903,0.05961779679775714,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,1,1,1,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,window_weighted_by_symbol_direction,AAPL
0.008662193382874918,-0.004946739791793796,-0.0025915371793348387,0.00020423620793878308,0.008662193382874918,-0.004946739791793796,-0.010985030338263443,0.011203014285745154,-0.0037964188308458055,-0.0010725785154759955,-0.00652739790144399,-0.0039028680461332924,0.009765235114641481,0.0036189563488446264,-0.011272407518408523,0.012301489728916795,0.01356165394548721,0.004691534864320605,-0.00474500961696454,0.016204357775050044,0.0513216334334853,0.08430791888268117,0.014251165529270896,0.02766825738008046,0.0513216334334853,0.08430791888268117,0.00628243858678057,0.01666947930227409,-0.021084100333798556,-0.02289999387737843,-0.0070471878794152116,-0.015703616487640158,0.061724924697466245,0.08828875904663151,0.013524728022125232,0.03180085796220903,0.08280902503126475,0.11118875292400994,0.020571915901540446,0.04750447444984917,bullish_activity,0.05939725179901789,0.0819244074856269,0.011659628349936058,0.027872493588019243,0.05939725179901789,0.0819244074856269,-0.004702591751482872,0.027872493588019243,-0.020596636762081344,-0.020596636762081344,-0.013574585780859202,-0.01960648453377345,0.07515344216303732,0.09560109371075298,0.0022523205037167093,0.04410234769112583,0.09575007892511855,0.11619773047283437,0.015826906284575906,0.06370883222489922,31,1,3,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.0,0.3333333333333333,1.0,0.5,0.0,0.6666666666666666,1.0,0.5,0.0,0.6666666666666666,window_weighted_by_symbol_direction,AAPL
0.008662193382874918,-0.004946739791793796,-0.0032583488182577613,-0.005616229980910881,,,,,-0.0037964188308458055,-0.0010725785154759955,-0.0033168364457807718,-0.0033946357495250696,0.009765235114641481,0.0036189563488446264,-0.009279002075172479,0.011243378173236248,0.01356165394548721,0.004691534864320605,-0.005962165629391683,0.01463801392276131,0.050735058416142974,0.08687114727742071,0.014840030937650295,0.02390101805338024,,,,,-0.01680021793123554,-0.019524058246605348,-0.007621361208873486,-0.01659141003450056,0.06538820704839585,0.09198213736190836,0.011782920112106817,0.02881604755421422,0.08218842497963136,0.11150619560851377,0.01940428132098031,0.04540745758871473,bullish_activity_or_put_selling,0.05939725179901789,0.0819244074856269,0.011581682119392533,0.01828478807246936,,,,,-0.020596636762081344,-0.020596636762081344,-0.010938197654654258,-0.01998604578402563,0.07515344216303732,0.09560109371075298,0.0025039180369343383,0.04005942572745047,0.09575007892511855,0.11619773047283437,0.013442115691588628,0.06004547151147604,8,1,2,0.5,0.5,0.5,0.5,,,,,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,window_weighted_by_symbol_direction,AAPL
0.008662193382874918,-0.004946739791793796,-0.0032583488182577613,-0.005616229980910881,,,,,-0.0037964188308458055,-0.0010725785154759955,-0.0033168364457807718,-0.0033946357495250696,0.009765235114641481,0.0036189563488446264,-0.009279002075172479,0.011243378173236248,0.01356165394548721,0.004691534864320605,-0.005962165629391683,0.01463801392276131,0.050735058416142974,0.08687114727742071,0.014840030937650295,0.02390101805338024,,,,,-0.01680021793123554,-0.019524058246605348,-0.007621361208873486,-0.01659141003450056,0.06538820704839585,0.09198213736190836,0.011782920112106817,0.02881604755421422,0.08218842497963136,0.11150619560851377,0.01940428132098031,0.04540745758871473,mixed_or_conflicting_activity,0.05939725179901789,0.0819244074856269,0.011581682119392533,0.01828478807246936,,,,,-0.020596636762081344,-0.020596636762081344,-0.010938197654654258,-0.01998604578402563,0.07515344216303732,0.09560109371075298,0.0025039180369343383,0.04005942572745047,0.09575007892511855,0.11619773047283437,0.013442115691588628,0.06004547151147604,5,1,2,0.5,0.5,0.5,0.5,,,,,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,window_weighted_by_symbol_direction,AAPL
