activity_hypothesis,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d
ask_side_call_activity,0.0821220394008706,-0.01272780934110529,0.03349811849774942,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,1.0,0.0,1.0,15,1.0,1.0,0.0,1.0
ask_side_put_activity,-0.0821220394008706,0.01272780934110529,-0.03349811849774942,-0.9678362573099415,-0.9956140350877194,0.23391812865497075,-0.7573099415204678,0.0,1.0,0.0,10,0.0,0.0,1.0,0.0
opening_activity_without_side,,,,-0.01717539105215608,0.14926544002282144,0.076677126420387,-0.348369229306328,,,,15,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
