symbol,sector_bucket,cap_bucket,event_id,created_at,expiration,option_right,strike,contract_symbol,activity_hypothesis,activity_direction_class,direction_sign,trade_side_type,trade_price,trade_size,quote_bid,quote_ask,quote_spread,ask_touch_ratio,window_volume,underlying_event_close,underlying_fwd_1d,underlying_mfe_1d,underlying_mae_1d,underlying_fwd_5d,underlying_mfe_5d,underlying_mae_5d,underlying_fwd_10d,underlying_mfe_10d,underlying_mae_10d,option_contract_long_fwd_1d,option_contract_long_fwd_5d,option_contract_long_fwd_10d,option_contract_long_fwd_14d,directional_underlying_fwd_1d,directional_underlying_fwd_5d,directional_underlying_fwd_10d,option_contract_long_hit_1d,option_contract_long_hit_5d,option_contract_long_hit_10d,option_contract_long_hit_14d
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_B57XHPHY,2026-04-24T09:30:00.377000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,2.83,84,2.73,2.83,0.10000000000000009,1.0,2638,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_HEFW3GMH,2026-04-24T09:35:02.411000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,4.1,3,4.05,4.1,0.04999999999999982,1.0,1172,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_5GEEJWW2,2026-04-24T09:40:00.542000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,4.05,1,4.0,4.05,0.04999999999999982,1.0,869,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_D2FVTQA8,2026-04-24T09:45:14.203000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,3.7,2,3.65,3.7,0.050000000000000266,1.0,446,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_98QT32PS,2026-04-24T09:50:00.615000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,4.0,1,3.95,4.0,0.04999999999999982,1.0,518,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_VRQKQUZG,2026-04-24T09:55:18.847000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,3.8,1,3.7,3.8,0.09999999999999964,1.0,488,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_Y26EX7JV,2026-04-24T10:00:07.856000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,3.75,1,3.7,3.75,0.04999999999999982,1.0,265,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_Z3S8LMAD,2026-04-24T10:05:57.066000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,3.8,1,3.7,3.8,0.09999999999999964,1.0,304,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_8UR3ZCB8,2026-04-24T10:10:24.528000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,4.0,1,3.9,4.0,0.10000000000000009,1.0,464,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
NVDA,mega_technology_semiconductor,mega_cap,opt_evt_HP9N9QQW,2026-04-24T10:15:28.169000-04:00,2026-05-15,CALL,210,NVDA 2026-05-15 210C,ask_side_call_activity,bullish_activity,1,ask_side,3.9,1,3.85,3.9,0.04999999999999982,1.0,290,208.27,0.04004417342872224,0.04107648725212454,-0.004273299082921289,-0.04715033370144539,0.04107648725212454,-0.05353627502760838,0.033274115331060505,0.04575791040476296,-0.06496374897968982,0.7518463810930576,-0.7592319054652881,0.11521418020679475,2.825701624815362,0.04004417342872224,-0.04715033370144539,0.033274115331060505,1,0,1,1
