activity_hypothesis,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d
ask_side_call_activity,0.054758702649749115,0.021869651240137,-0.008685287378166562,0.20417106779132968,2.289209636792859,0.3761624888583922,-0.23632261350362954,0.7631578947368421,0.6842105263157895,0.3684210526315789,38,5,0.7631578947368421,0.7631578947368421,0.6842105263157895,0.3684210526315789
ask_side_put_activity,-0.10780892908188455,-0.027104659979688247,0.013687339343322056,-0.5980104373322885,-0.7352989673584652,-0.26536051415432305,0.04311151563473386,0.22580645161290322,0.0967741935483871,0.7096774193548387,31,5,0.22580645161290322,0.1935483870967742,0.06451612903225806,0.41935483870967744
opening_activity_without_side,,,,-0.020764144863122093,0.4611081080777855,-0.03915532746942852,-0.08580154513430294,,,,130,5,0.49230769230769234,0.34615384615384615,0.3923076923076923,0.4076923076923077
