avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_events,sample,symbol
-0.0821220394008706,-0.10016232568435024,0.01272780934110529,-0.03349811849774942,-0.9678362573099414,-0.9956140350877194,0.23391812865497075,-0.7573099415204678,bearish_activity,0.0,0.0,1.0,0.0,9,complete_evidence_only,AAPL
,,,,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,bearish_activity_or_call_selling,,,,,5,complete_evidence_only,AAPL
0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,bullish_activity,1.0,1.0,0.0,1.0,13,complete_evidence_only,AAPL
,,,,-0.9678362573099415,-0.9956140350877193,0.23391812865497075,-0.7573099415204678,bullish_activity_or_put_selling,,,,,7,complete_evidence_only,AAPL
,,,,-0.25484060761660243,-0.13695442875481376,0.11598737697903294,-0.450604407359863,mixed_or_conflicting_activity,,,,,4,complete_evidence_only,AAPL
0.020046710782405497,0.02715064227325792,-0.01086674451797065,-0.013591540158297777,0.2293333333333334,0.3426666666666667,-0.2506666666666667,-0.42266666666666663,bearish_activity,1.0,1.0,0.0,0.0,5,complete_evidence_only,JPM
,,,,-0.7953846153846154,-0.9907692307692307,0.2615384615384615,0.29384615384615387,bearish_activity_or_call_selling,,,,,7,complete_evidence_only,JPM
-0.020046710782405497,-0.02715064227325792,0.01086674451797065,0.013591540158297777,-0.7953846153846154,-0.9907692307692307,0.2615384615384615,0.29384615384615387,bullish_activity,0.0,0.0,1.0,1.0,2,complete_evidence_only,JPM
,,,,0.2293333333333334,0.3426666666666667,-0.2506666666666667,-0.42266666666666663,bullish_activity_or_put_selling,,,,,5,complete_evidence_only,JPM
,,,,-0.30999190283400807,-0.35914170040485827,0.01891497975708498,-0.04555465587044532,mixed_or_conflicting_activity,,,,,19,complete_evidence_only,JPM
