avg_abs_underlying_fwd_10d,avg_abs_underlying_fwd_14d,avg_abs_underlying_fwd_1d,avg_abs_underlying_fwd_5d,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,avg_underlying_path_range_10d,avg_underlying_path_range_14d,avg_underlying_path_range_1d,avg_underlying_path_range_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,sample
0.10972980443773903,0.22539449252843996,0.02576104598018067,0.0310832338855127,-0.10225853514230956,-0.21724929984646257,-0.018267900947253484,0.00447788663488467,-0.6810122406238986,-0.7937792006246518,-0.15059978400654134,-0.13303685083663452,0.16647668138937075,0.2823782379035832,0.037063829710083755,0.08856281911973747,bearish_activity,0.175,0.15,0.3,0.55,40,6,0.175,0.15,0.275,0.325,all_events
0.06545921930919944,0.10637719478550106,0.012249398481342735,0.0363893104335258,,,,,0.16567532959525672,0.9036491671067961,-0.04827206649771839,0.4175326728788455,0.11732909662251448,0.15514115101271625,0.023363721413887036,0.07745606173559155,bearish_activity_or_call_selling,,,,,29,5,0.4482758620689655,0.4482758620689655,0.3103448275862069,0.9310344827586207,all_events
0.07148631377599449,0.14678321473711384,0.02424852979826016,0.03965698732385182,0.061913401224468825,0.14465375259803478,0.013149158593737033,0.0009636001542797101,0.6572411506412527,2.3381024686379805,0.21917782171521488,-0.06534343835125453,0.13043299622233853,0.20205183952462222,0.032196495908424466,0.08939092682463455,bullish_activity,0.8235294117647058,0.9607843137254902,0.5098039215686274,0.5294117647058824,51,6,0.8235294117647058,0.8235294117647058,0.5098039215686274,0.5294117647058824,all_events
0.0961277011683168,0.18117803836878918,0.01999161635720846,0.031911400085302376,,,,,-0.5859290992113803,-0.7119611616477531,-0.0779896552654692,-0.35944800668741733,0.14758687683924937,0.23268672125206943,0.030281001486273305,0.0834752594690925,bullish_activity_or_put_selling,,,,,24,6,0.2916666666666667,0.20833333333333334,0.375,0.16666666666666666,all_events
0.10668637951555224,0.20451990671472275,0.017255625956691445,0.038448621067119486,,,,,0.08237836457574646,0.5936541423278956,-0.010340682247118128,-0.20401751671052656,0.16931561049920762,0.2611064338782881,0.03282671769840896,0.09303992972129746,mixed_or_conflicting_activity,,,,,95,6,0.5368421052631579,0.35789473684210527,0.4631578947368421,0.30526315789473685,all_events
0.11496619762149254,0.23666407126396433,0.02612981383566023,0.03105646927197339,-0.10797275572277992,-0.2293260598387595,-0.018717106196879777,0.0048393186581078005,-0.6968780189453875,-0.813600558285541,-0.15171602222297184,-0.12764182230481746,0.17263677143194806,0.29445570331259646,0.038015572520021614,0.09014419454340727,bearish_activity,0.16216216216216217,0.13513513513513514,0.2972972972972973,0.5675675675675675,37,6,0.16216216216216217,0.13513513513513514,0.2702702702702703,0.32432432432432434,complete_evidence_only
0.06675615138402242,0.10924820701616507,0.012514193594368042,0.03676795050774521,,,,,0.20231519721849525,0.9483147784965827,-0.04569314288296393,0.42168723907890754,0.11869655150371275,0.15785903640785032,0.023428283842713154,0.07837082380497358,bearish_activity_or_call_selling,,,,,28,5,0.4642857142857143,0.4642857142857143,0.32142857142857145,0.9285714285714286,complete_evidence_only
0.07204909893558752,0.14803848019377847,0.024161286468192662,0.0396297530881071,0.062085455259509766,0.14582210123269618,0.013128382126387178,0.001281547409631861,0.6432640441027281,2.3260918343975048,0.21763321233534044,-0.062097870317768256,0.1312618000657006,0.2035037604510861,0.032337427976924814,0.08944098531809458,bullish_activity,0.8163265306122449,0.9591836734693877,0.5102040816326531,0.5306122448979592,49,6,0.8163265306122449,0.8163265306122449,0.5102040816326531,0.5306122448979592,complete_evidence_only
0.0961277011683168,0.18117803836878918,0.01999161635720846,0.031911400085302376,,,,,-0.5859290992113803,-0.7119611616477531,-0.0779896552654692,-0.35944800668741733,0.14758687683924937,0.23268672125206943,0.030281001486273305,0.0834752594690925,bullish_activity_or_put_selling,,,,,24,6,0.2916666666666667,0.20833333333333334,0.375,0.16666666666666666,complete_evidence_only
0.10798068336925068,0.2071332049340168,0.017319011284267313,0.038163853016001684,,,,,0.10319920167231124,0.6278188501712134,-0.014848386914430455,-0.20172410585251216,0.17063003576522862,0.26390184421951196,0.033052096079564705,0.09307980699973137,mixed_or_conflicting_activity,,,,,93,6,0.5483870967741935,0.3655913978494624,0.45161290322580644,0.3010752688172043,complete_evidence_only
