event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_24e7eb1edfc7,nasdaq_earnings_calendar,"PECO earnings release (Phillips Edison & Company, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.69"", ""epsForecast"": ""$0.67"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$5,004,720,000"", ""name"": ""Phillips Edison & Company, Inc."", ""noOfEsts"": ""4"", ""surprise"": ""2.99"", ""symbol"": ""PECO"", ""time"": ""time-not-supplied""}"
cal_6b5e9d1cb6e4,nasdaq_earnings_calendar,"PENN earnings release (PENN Entertainment, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.11"", ""epsForecast"": ""$0.05"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,118,740,563"", ""name"": ""PENN Entertainment, Inc."", ""noOfEsts"": ""6"", ""surprise"": ""120"", ""symbol"": ""PENN"", ""time"": ""time-not-supplied""}"
cal_af3546de1f9a,nasdaq_earnings_calendar,PFG earnings release (Principal Financial Group Inc),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.07"", ""epsForecast"": ""$2.01"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$21,767,567,936"", ""name"": ""Principal Financial Group Inc"", ""noOfEsts"": ""6"", ""surprise"": ""2.99"", ""symbol"": ""PFG"", ""time"": ""time-not-supplied""}"
cal_999a1de833fc,nasdaq_earnings_calendar,"PHM earnings release (PulteGroup, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.79"", ""epsForecast"": ""$1.80"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$21,690,681,016"", ""name"": ""PulteGroup, Inc."", ""noOfEsts"": ""6"", ""surprise"": ""-0.56"", ""symbol"": ""PHM"", ""time"": ""time-not-supplied""}"
cal_49505ead1e1e,nasdaq_earnings_calendar,"PINE earnings release (Alpine Income Property Trust, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.53"", ""epsForecast"": ""$0.53"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$313,969,471"", ""name"": ""Alpine Income Property Trust, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""N/A"", ""symbol"": ""PINE"", ""time"": ""time-not-supplied""}"
cal_f5ad809b8f95,nasdaq_earnings_calendar,POOL earnings release (Pool Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.43"", ""epsForecast"": ""$1.34"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$6,386,271,846"", ""name"": ""Pool Corporation"", ""noOfEsts"": ""6"", ""surprise"": ""6.72"", ""symbol"": ""POOL"", ""time"": ""time-not-supplied""}"
cal_0651b4f44874,nasdaq_earnings_calendar,"R earnings release (Ryder System, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.54"", ""epsForecast"": ""$2.29"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$8,939,946,619"", ""name"": ""Ryder System, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""10.92"", ""symbol"": ""R"", ""time"": ""time-not-supplied""}"
cal_7a1cb3b3c08d,nasdaq_earnings_calendar,"RBCAA earnings release (Republic Bancorp, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.04"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,504,091,359"", ""name"": ""Republic Bancorp, Inc."", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""RBCAA"", ""time"": ""time-not-supplied""}"
cal_052a6161de9e,nasdaq_earnings_calendar,"RBKB earnings release (Rhinebeck Bancorp, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.20"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$181,065,392"", ""name"": ""Rhinebeck Bancorp, Inc."", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""RBKB"", ""time"": ""time-not-supplied""}"
cal_f445cf6631b2,nasdaq_earnings_calendar,"REXR earnings release (Rexford Industrial Realty, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.61"", ""epsForecast"": ""$0.60"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$7,958,820,876"", ""name"": ""Rexford Industrial Realty, Inc."", ""noOfEsts"": ""4"", ""surprise"": ""-36.67"", ""symbol"": ""REXR"", ""time"": ""time-not-supplied""}"
