event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_ed9f32a569b9,nasdaq_earnings_calendar,"AERO earnings release (Grupo Aeromexico, S.A.B. de C.V.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.07"", ""epsForecast"": ""$0.07"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,181,255,965"", ""name"": ""Grupo Aeromexico, S.A.B. de C.V."", ""noOfEsts"": ""2"", ""surprise"": ""N/A"", ""symbol"": ""AERO"", ""time"": ""time-not-supplied""}"
cal_5acbc4f918c4,nasdaq_earnings_calendar,"AMRX earnings release (Amneal Pharmaceuticals, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.25"", ""epsForecast"": ""$0.25"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$3,901,648,746"", ""name"": ""Amneal Pharmaceuticals, Inc."", ""noOfEsts"": ""1"", ""surprise"": ""N/A"", ""symbol"": ""AMRX"", ""time"": ""time-not-supplied""}"
cal_dc8f70f49ced,nasdaq_earnings_calendar,"AMSF earnings release (AMERISAFE, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.50"", ""epsForecast"": ""$0.52"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$571,213,166"", ""name"": ""AMERISAFE, Inc."", ""noOfEsts"": ""1"", ""surprise"": ""-3.85"", ""symbol"": ""AMSF"", ""time"": ""time-not-supplied""}"
cal_63cda55ac220,nasdaq_earnings_calendar,"ARR earnings release (ARMOUR Residential REIT, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.76"", ""epsForecast"": ""$0.73"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,154,681,035"", ""name"": ""ARMOUR Residential REIT, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""4.11"", ""symbol"": ""ARR"", ""time"": ""time-not-supplied""}"
cal_586968e51b45,nasdaq_earnings_calendar,"ASR earnings release (Grupo Aeroportuario del Sureste, S.A. de C.V.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$5.34"", ""epsForecast"": ""$5.33"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$9,034,200,000"", ""name"": ""Grupo Aeroportuario del Sureste, S.A. de C.V."", ""noOfEsts"": ""2"", ""surprise"": ""0.19"", ""symbol"": ""ASR"", ""time"": ""time-not-supplied""}"
cal_5eba98af8efe,nasdaq_earnings_calendar,AZZ earnings release (AZZ Inc.),2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$1.34"", ""epsForecast"": ""$1.19"", ""fiscalQuarterEnding"": ""Feb/2026"", ""marketCap"": ""$4,404,058,744"", ""name"": ""AZZ Inc."", ""noOfEsts"": ""3"", ""surprise"": ""12.61"", ""symbol"": ""AZZ"", ""time"": ""time-not-supplied""}"
cal_e708cb350730,nasdaq_earnings_calendar,BA earnings release (Boeing Company (The)),2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""($0.20)"", ""epsForecast"": ""($0.95)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$180,686,777,289"", ""name"": ""Boeing Company (The)"", ""noOfEsts"": ""8"", ""surprise"": ""78.95"", ""symbol"": ""BA"", ""time"": ""time-not-supplied""}"
cal_8fa28f00cdff,nasdaq_earnings_calendar,"BANC earnings release (Banc of California, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.39"", ""epsForecast"": ""$0.38"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,871,579,021"", ""name"": ""Banc of California, Inc."", ""noOfEsts"": ""6"", ""surprise"": ""2.63"", ""symbol"": ""BANC"", ""time"": ""time-not-supplied""}"
cal_a48e7259303b,nasdaq_earnings_calendar,BANR earnings release (Banner Corporation),2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$1.59"", ""epsForecast"": ""$1.38"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,164,437,328"", ""name"": ""Banner Corporation"", ""noOfEsts"": ""5"", ""surprise"": ""15.22"", ""symbol"": ""BANR"", ""time"": ""time-not-supplied""}"
cal_8387df080dc8,nasdaq_earnings_calendar,BDN earnings release (Brandywine Realty Trust),2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.11"", ""epsForecast"": ""$0.11"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$531,558,246"", ""name"": ""Brandywine Realty Trust"", ""noOfEsts"": ""2"", ""surprise"": ""N/A"", ""symbol"": ""BDN"", ""time"": ""time-not-supplied""}"
cal_de08eed768a7,nasdaq_earnings_calendar,"BKU earnings release (BankUnited, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.83"", ""epsForecast"": ""$0.97"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$3,347,719,747"", ""name"": ""BankUnited, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""-14.43"", ""symbol"": ""BKU"", ""time"": ""time-not-supplied""}"
cal_05bc872056cd,nasdaq_earnings_calendar,BSX earnings release (Boston Scientific Corporation),2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$0.80"", ""epsForecast"": ""$0.80"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$79,594,319,835"", ""name"": ""Boston Scientific Corporation"", ""noOfEsts"": ""9"", ""surprise"": ""N/A"", ""symbol"": ""BSX"", ""time"": ""time-not-supplied""}"
cal_b7bd88d13ac5,nasdaq_earnings_calendar,"BWFG earnings release (Bankwell Financial Group, Inc.)",2026-04-22T00:00:00-04:00,2026-04-22,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-22,"{""eps"": ""$1.41"", ""epsForecast"": ""$1.23"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$406,951,107"", ""name"": ""Bankwell Financial Group, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""14.63"", ""symbol"": ""BWFG"", ""time"": ""time-not-supplied""}"
