event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_3140c65b99d5,nasdaq_earnings_calendar,"AMKR earnings release (Amkor Technology, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.33"", ""epsForecast"": ""$0.23"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$17,869,129,823"", ""name"": ""Amkor Technology, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""43.48"", ""symbol"": ""AMKR"", ""time"": ""time-not-supplied""}"
cal_2128302c4863,nasdaq_earnings_calendar,ARCC earnings release (Ares Capital Corporation),2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.47"", ""epsForecast"": ""$0.48"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$13,599,352,684"", ""name"": ""Ares Capital Corporation"", ""noOfEsts"": ""5"", ""surprise"": ""-2.08"", ""symbol"": ""ARCC"", ""time"": ""time-not-supplied""}"
cal_2d64285a4296,nasdaq_earnings_calendar,"ARE earnings release (Alexandria Real Estate Equities, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$1.73"", ""epsForecast"": ""$1.73"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$8,046,021,892"", ""name"": ""Alexandria Real Estate Equities, Inc."", ""noOfEsts"": ""5"", ""surprise"": ""N/A"", ""symbol"": ""ARE"", ""time"": ""time-not-supplied""}"
cal_b81c5138c96b,nasdaq_earnings_calendar,"ARLP earnings release (Alliance Resource Partners, L.P.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.37"", ""epsForecast"": ""$0.27"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$3,251,207,901"", ""name"": ""Alliance Resource Partners, L.P."", ""noOfEsts"": ""2"", ""surprise"": ""37.04"", ""symbol"": ""ARLP"", ""time"": ""time-not-supplied""}"
cal_3b464c530798,nasdaq_earnings_calendar,"AVB earnings release (AvalonBay Communities, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$2.83"", ""epsForecast"": ""$2.80"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$25,532,629,144"", ""name"": ""AvalonBay Communities, Inc."", ""noOfEsts"": ""7"", ""surprise"": ""1.07"", ""symbol"": ""AVB"", ""time"": ""time-not-supplied""}"
cal_38db786321f1,nasdaq_earnings_calendar,"AVBH earnings release (Avidbank Holdings, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.84"", ""epsForecast"": ""$0.80"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$321,972,358"", ""name"": ""Avidbank Holdings, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""5"", ""symbol"": ""AVBH"", ""time"": ""time-not-supplied""}"
cal_0d2adcb3308e,nasdaq_earnings_calendar,"BBBY earnings release (Bed Bath & Beyond, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""($0.25)"", ""epsForecast"": ""($0.31)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$346,771,542"", ""name"": ""Bed Bath & Beyond, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""19.35"", ""symbol"": ""BBBY"", ""time"": ""time-not-supplied""}"
cal_f4bcf756863a,nasdaq_earnings_calendar,"BFST earnings release (Business First Bancshares, Inc.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.73"", ""epsForecast"": ""$0.69"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$886,880,052"", ""name"": ""Business First Bancshares, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""5.8"", ""symbol"": ""BFST"", ""time"": ""time-not-supplied""}"
cal_024c9c1d3e39,nasdaq_earnings_calendar,"BLX earnings release (Banco Latinoamericano de Comercio Exterior, S.A.)",2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$1.31"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,012,665,044"", ""name"": ""Banco Latinoamericano de Comercio Exterior, S.A."", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""BLX"", ""time"": ""time-not-supplied""}"
cal_89620a908361,nasdaq_earnings_calendar,BMRC earnings release (Bank of Marin Bancorp),2026-04-27T00:00:00-04:00,2026-04-27,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-27,"{""eps"": ""$0.53"", ""epsForecast"": ""$0.56"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$414,618,396"", ""name"": ""Bank of Marin Bancorp"", ""noOfEsts"": ""5"", ""surprise"": ""-5.36"", ""symbol"": ""BMRC"", ""time"": ""time-not-supplied""}"
