field,present_count,missing_count,present_rate
call_put_side,10,0,1.0
aggressor_or_quote_side,10,0,1.0
ask_bid_touch_context,10,0,1.0
sweep_or_block_context,10,0,1.0
opening_or_closing_context,10,0,1.0
open_interest_or_oi_change,10,0,1.0
iv_level_and_change,8,2,0.8
skew_direction,8,2,0.8
term_structure_direction,8,2,0.8
underlying_confirmation_or_divergence,8,2,0.8
