id,timeline_headline,created_at,updated_at,symbols,summary,event_link_url
opt_evt_2B8AZ5XF,AAPL 2026-05-15 270P draws ask-side activity,2026-04-24T09:30:23.185000-04:00,2026-05-15T06:47:00-04:00,AAPL;AAPL 2026-05-15 270P,trade_at_ask,opt_evt_2B8AZ5XF.csv
opt_evt_SKY9CEHX,AAPL 2026-05-15 270P draws ask-side activity,2026-04-24T09:36:44.752000-04:00,2026-05-15T06:47:00-04:00,AAPL;AAPL 2026-05-15 270P,trade_at_ask,opt_evt_SKY9CEHX.csv
opt_evt_V2QMJKRP,AAPL 2026-05-15 270P draws bid-side activity,2026-04-24T09:44:07.106000-04:00,2026-05-15T06:47:00-04:00,AAPL;AAPL 2026-05-15 270P,trade_at_bid,opt_evt_V2QMJKRP.csv
opt_evt_8VME6FGT,AAPL 2026-05-15 270P draws bid-side activity,2026-04-24T09:45:07.179000-04:00,2026-05-15T06:47:00-04:00,AAPL;AAPL 2026-05-15 270P,trade_at_bid,opt_evt_8VME6FGT.csv
opt_evt_RB5469ZK,AAPL 2026-05-15 270P draws ask-side activity,2026-04-24T09:53:35.678000-04:00,2026-05-15T06:47:00-04:00,AAPL;AAPL 2026-05-15 270P,trade_at_ask,opt_evt_RB5469ZK.csv
