method,k,inertia_or_bic,silhouette,calinski_harabasz,davies_bouldin,min_cluster_pct,max_cluster_pct,score
gmm,4,209738.1713368264,0.11646045257852701,2105.690747591597,2.102832765427044,0.06452905811623247,0.516432865731463,5.899422221534795
gmm,6,187116.5941759299,0.0551951113278425,1672.9382359760389,1.8372685015165613,0.05130260521042084,0.2716432865731463,5.751251186764048
gmm,8,177778.27281998514,0.022057534510518863,1740.7784563261723,1.869462697642083,0.01312625250501002,0.20521042084168337,5.290634402495111
gmm,10,171465.34040397717,0.030869890492110398,1549.5544033476242,1.872190160966058,0.013527054108216433,0.18366733466933868,5.20205787713275
gmm,12,166564.76861939914,-0.0055063258891895495,1229.7607215383134,2.0091097530369275,0.012124248496993988,0.1720440881763527,4.711001484251805
