control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_1d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_1d,control_avg_directional_fwd_5d,control_avg_mae_10d,control_avg_mae_14d,control_avg_mae_1d,control_avg_mae_5d,control_avg_mfe_10d,control_avg_mfe_14d,control_avg_mfe_1d,control_avg_mfe_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_1d,control_avg_path_range_5d,control_count,delta_abs_fwd_10d,delta_abs_fwd_14d,delta_abs_fwd_1d,delta_abs_fwd_5d,delta_directional_fwd_10d,delta_directional_fwd_14d,delta_directional_fwd_1d,delta_directional_fwd_5d,delta_mae_10d,delta_mae_14d,delta_mae_1d,delta_mae_5d,delta_mfe_10d,delta_mfe_14d,delta_mfe_1d,delta_mfe_5d,delta_path_range_10d,delta_path_range_14d,delta_path_range_1d,delta_path_range_5d,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_baseline_date,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_id,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_name,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,symbol
0.03923459802170955,0.03986235259986548,0.012296473335804933,0.023535750525961723,-0.011947692819021194,0.004568627911090843,-0.012296473335804933,-0.0049779622014359814,-0.04438236974432922,-0.048352767028041733,-0.020303914921803723,-0.033286139675442694,0.02161648972433901,0.0291170226717062,0.0013848541673544545,0.014328394625543103,0.06599885946866824,0.07746978969974794,0.021688769089158177,0.0476145343009858,3,-0.026830792456232287,-0.02963408361262665,0.006828766135572298,-0.005319690520116976,-0.00045611274645607214,0.005659641076147988,-0.006828766135572298,-0.013238097804408766,-0.012198466051365174,-0.008228068767652662,-0.02437576167007227,-0.011426007611630817,-0.008141475924293779,-0.013206382024890068,-0.004534511601520186,-0.0008533808254978705,0.0040569901270713915,-0.00497831325723741,0.019841250068552085,0.010572626786132945,0.012403805565477266,0.010228268987238831,0.01912523947137723,0.018216060005844747,2025-10-13,2025-10-14,-0.012403805565477266,0.010228268987238831,-0.01912523947137723,-0.018216060005844747,cal_04c87c2e8355,-0.056580835795694395,-0.056580835795694395,-0.044679676591875994,-0.04471214728707351,0.013475013800045232,0.015910640646816132,-0.0031496574341657313,0.013475013800045232,JPM earnings release (J P Morgan Chase & Co),0.07005584959573963,0.07249147644251053,0.04153001915771026,0.058187161087118744,JPM
0.042730291118765175,0.06711229036839672,0.02275974511639815,0.006020489948416381,-0.0019202401084382388,-0.01993529978855187,-0.02275974511639815,0.0006408368904482856,-0.06559933079859363,-0.09383996119302351,-0.03592484712095737,-0.04711726089834004,0.04191118800123624,0.0603961586635399,-0.0032188545569236857,0.023667535183315176,0.10751051879982987,0.1542361198565634,0.03270599256403369,0.07078479608165522,3,-0.03897972627466221,-0.06117013040454666,-0.014558208740437933,0.03453531664896262,0.0056708049525412045,0.025877459752401927,0.014558208740437933,0.039914969706930724,0.0007552277710291405,0.02899585816545902,0.005197327916257856,-0.01772684212922445,0.029191387687873473,0.010706417025569813,0.009859161832115623,0.031461249272175015,0.02843615991684434,-0.0182894411398892,0.004661833915857762,0.04918809140139946,0.003750564844102966,0.005942159963850058,0.008201536375960217,0.04055580659737901,2025-10-21,2025-10-22,0.003750564844102966,0.005942159963850058,-0.008201536375960217,0.04055580659737901,cal_624828d686c6,-0.06484410302756449,-0.06484410302756449,-0.030727519204699516,-0.06484410302756449,0.07110257568910971,0.07110257568910971,0.006640307275191937,0.05512878445549019,"TSLA earnings release (Tesla, Inc.)",0.1359466787166742,0.1359466787166742,0.03736782647989145,0.11997288748305468,TSLA
0.03999571365255868,0.028008359534686722,0.007806385955681209,0.020685865164926726,-0.00348310888332685,-0.026839748428985732,-0.007780771529636558,0.020685865164926726,-0.02890692300688939,-0.0492308794047119,-0.012136648267605485,-0.014351587781391562,0.05157157361411261,0.05157157361411261,0.0034443989449128485,0.0318722804802527,0.080478496621002,0.10080245301882451,0.015581047212518332,0.04622386826164426,3,0.021601497039787344,0.03578413958904281,-0.006847100254572284,0.030488337428834205,-0.05811410180901918,-0.0369527506947438,0.006821485828527633,-0.07186006775868765,-0.06115524608566332,-0.04083128968784081,0.002283123815043883,-0.048795238274284,-0.04382349679746548,-0.04382349679746548,0.0043036778717342825,-0.02412420366360557,0.017331749288197848,-0.002992207109624667,0.0020205540566904014,0.024671034610678433,0.06159721069234603,0.06379249912372953,0.0009592857011089251,0.05117420259376093,2025-10-28,2025-10-29,-0.06159721069234603,-0.06379249912372953,-0.0009592857011089251,-0.05117420259376093,cal_f6db2fe06339,-0.09006216909255271,-0.09006216909255271,-0.009853524452561602,-0.06314682605567556,0.0077480768166471314,0.0077480768166471314,0.0077480768166471314,0.0077480768166471314,MSFT earnings release (Microsoft Corporation),0.09781024590919984,0.09781024590919984,0.017601601269208733,0.0708949028723227,MSFT
0.049697034217565106,0.05801472968156007,0.012286709333779733,0.03544763948278954,0.0409982661311706,0.05801472968156007,0.009074096120054609,0.03544763948278954,-0.006254634559792953,-0.006254634559792953,-0.00446298488290775,-0.00446298488290775,0.0672953943053145,0.07612740691915931,0.016944680986509624,0.05129027445046589,0.07355002886510746,0.08238204147895227,0.021407665869417374,0.05575325933337364,3,-0.03571853959390903,-0.04963504855438172,-0.0059834093708579505,-0.03381619713944498,-0.02701977150751452,-0.06639441080873842,-0.0027707961571328266,-0.03381619713944498,-0.006537356541430579,-0.009985632403499551,-6.055979636543363e-05,-0.008329006218315782,-0.03904177917739449,-0.047873791791239295,-0.00048194461276100317,-0.023036659322545873,-0.03250442263596391,-0.03788815938773975,-0.00042138481639556954,-0.014707653104230091,0.01397849462365608,0.008379681127178351,0.006303299962921782,0.001631442343344558,2025-10-29,2025-10-30,0.01397849462365608,-0.008379681127178351,0.006303299962921782,0.001631442343344558,cal_15791d9ff7af,-0.012791991101223532,-0.016240266963292505,-0.004523544679273184,-0.012791991101223532,0.028253615127920018,0.028253615127920018,0.01646273637374862,0.028253615127920018,AAPL earnings release (Apple Inc.),0.04104560622914355,0.04449388209121252,0.020986281053021805,0.04104560622914355,AAPL
0.09462496078116849,0.0645821134310568,0.05427942722350099,0.02713783993178916,-0.09462496078116849,-0.0645821134310568,0.05427942722350099,-0.015261110060264463,-0.11577843315805136,-0.13632862859050887,-0.01508476831273294,-0.031702813215791714,0.12894429268738858,0.12894429268738858,0.05908241008858606,0.10957512791322761,0.24472272584543994,0.2652729212778974,0.07416717840131899,0.14127794112901934,3,0.03334038731555851,0.18446409866842395,0.003378127063524694,0.05693892206585864,-0.03334038731555851,-0.18446409866842395,-0.11193698151052667,-0.06881565193738333,-0.07056160298549019,-0.122958253598757,-0.043433346486039394,-0.08808721001934205,-0.09225572953658986,-0.09225572953658986,-0.0716896215856746,-0.0728865647624289,-0.021694126551099674,0.03070252406216717,-0.0282562750996352,0.015200645256913142,0.127965348096727,0.24904621209948075,0.05765755428702568,0.0840767619976478,2025-10-29,2025-10-30,-0.127965348096727,-0.24904621209948075,-0.05765755428702568,-0.0840767619976478,cal_4af090722fde,-0.18634003614354155,-0.2592868821892659,-0.058518114798772336,-0.11979002323513377,0.036688563150798714,0.036688563150798714,-0.012607211497088544,0.036688563150798714,"COIN earnings release (Coinbase Global, Inc.)",0.22302859929434027,0.2959754453400646,0.04591090330168379,0.15647858638593248,COIN
0.09511421043159547,0.18251729049751111,0.013170553584776664,0.040576868094064356,0.09511421043159547,0.18251729049751111,-0.009589729264402417,0.040576868094064356,-0.0320810571775146,-0.0320810571775146,-0.030915827712445942,-0.0320810571775146,0.1107630126772859,0.19918321980498224,-0.002689594353886345,0.04910093593137462,0.1428440698548005,0.23126427698249685,0.0282262333585596,0.08118199310888922,3,0.15595213008442727,0.08363146861401524,0.02489811013997848,0.09743893955900318,0.15595213008442727,0.08363146861401524,0.04765839298915756,0.09743893955900318,0.030507667136581894,0.030507667136581894,0.029342437671513233,0.030507667136581894,0.1460068667371181,0.08008675180024447,0.051206551319210446,0.12536097696673623,0.1154991996005362,0.049579084663662565,0.02186411364769721,0.09485330983015434,0.2510663405160227,0.26614875911152636,0.03806866372475515,0.13801580765306753,2025-10-29,2025-10-30,0.2510663405160227,0.26614875911152636,0.03806866372475515,0.13801580765306753,cal_2389e42d2118,-0.0015733900409327095,-0.0015733900409327095,-0.0015733900409327095,-0.0015733900409327095,0.256769879414404,0.2792699716052267,0.0485169569653241,0.17446191289811086,LLY earnings release (Eli Lilly and Company),0.2583432694553367,0.2808433616461594,0.05009034700625681,0.17603530293904357,LLY
0.0220980706194146,0.008712219518139533,0.005003161709689434,0.015619342120414567,-0.001890771603649477,-0.008626507681334883,0.0038031959944241724,0.015619342120414567,-0.020571314358509157,-0.025135908846110427,-0.006958967598827377,-0.011075300401247157,0.027426009055617318,0.027426009055617318,0.007649595437607903,0.02613757599229527,0.04799732341412647,0.05256191790172774,0.014608563036435282,0.03721287639354243,3,-0.008679623511545942,0.0031429133635698294,0.022354837248100907,-0.011841332740529084,0.015309218711518136,-0.0032286252003744798,0.023554802963366168,-0.01939735150030005,0.011191429001552382,0.003835752514687745,0.017315924347133766,0.0021513816935868624,0.009442151444643221,0.009442151444643221,0.029218565062652635,0.010730584507965268,-0.0017492775569091581,0.005606398929955479,0.011902640715518867,0.008579202814378406,0.013418447107868658,0.011855132881709363,0.02735799895779034,0.003778009379885483,2025-10-30,2025-10-31,0.013418447107868658,-0.011855132881709363,0.02735799895779034,-0.003778009379885483,cal_8e082a589731,-0.009379885356956774,-0.02130015633142268,0.01035695674830639,-0.008923918707660294,0.03686816050026054,0.03686816050026054,0.03686816050026054,0.03686816050026054,CVX earnings release (Chevron Corporation),0.04624804585721731,0.05816831683168322,0.02651120375195415,0.04579207920792083,CVX
0.011980564091327417,0.020230324448724413,0.005798590766681618,0.01821673788755788,0.011184340466235029,0.012836819358580573,0.005798590766681618,0.012265904482005707,-0.014110819151491186,-0.017708043743426567,-0.006628946083345522,-0.013785834317450138,0.03060302061423766,0.0401500639744364,0.007919047488153344,0.028694672195245758,0.04471383976572885,0.05785810771786296,0.014547993571498866,0.042480506512695894,3,0.023767975450044942,0.0029626304732391917,-0.002921269291400426,-0.01656009825027475,0.02456419907513733,0.010356135563383032,-0.008675912241962808,-0.013922544119288838,-0.004896940897336019,-0.0012997163054006382,-0.01139790891709036,-0.005221925731377067,0.022757342102651384,0.013210298742452643,-0.0032542990358034683,-0.024029923742895882,0.0276542829999874,0.014510015047853285,0.008143609881286892,-0.018807998011518813,0.03574853954137236,0.023192954921963604,0.0028773214752811915,0.0016566396372831305,2025-10-30,2025-10-31,0.03574853954137236,0.023192954921963604,-0.0028773214752811915,-0.0016566396372831305,cal_4bfaea404058,-0.019007760048827205,-0.019007760048827205,-0.018026855000435882,-0.019007760048827205,0.05336036271688904,0.05336036271688904,0.004664748452349876,0.004664748452349876,XOM earnings release (Exxon Mobil Corporation),0.07236812276571625,0.07236812276571625,0.022691603452785758,0.02367250850117708,XOM
0.08735688498488976,0.062195848837895674,0.04907850804590974,0.048410019534054105,-0.053691660713439414,-0.045531282746786715,0.027232522245800455,0.007549313323148676,-0.12221656674706942,-0.12255251879793135,-0.0016831297535337224,-0.05011287763598319,0.08887289095070476,0.08887289095070476,0.051136051056573706,0.08537207172623718,0.21108945769777418,0.2114254097486361,0.052819180810107426,0.13548494936222036,3,-0.013680782539290018,0.15297842422199256,-0.012105659981207384,0.011940452254892486,-0.01998444173216033,-0.1696429903131015,-0.06420537031050282,-0.06789978511209527,-0.012618403405058445,-0.1264365048877994,-0.04553427829576336,-0.08472209251614468,-0.07400672495802223,-0.07400672495802223,-0.05987858908853971,-0.08537207172623718,-0.06138832155296378,0.052429779929777154,-0.01434431079277635,-0.0006499792100924939,0.07367610244559974,0.21517427305988823,0.03697284806470236,0.06035047178894659,2025-11-03,2025-11-04,-0.07367610244559974,-0.21517427305988823,-0.03697284806470236,-0.06035047178894659,cal_ed32ae7b473a,-0.13483497015212786,-0.24898902368573073,-0.04721740804929708,-0.13483497015212786,0.014866165992682534,0.014866165992682534,-0.008742538031966007,0.0,"AMD earnings release (Advanced Micro Devices, Inc.)",0.1497011361448104,0.26385518967841326,0.038474870017331075,0.13483497015212786,AMD
0.02386311747770975,0.01876554956101621,0.009304976599437187,0.00819993038817557,0.009107919623920324,-0.002983236635846246,0.00010309866516485429,-0.00819993038817557,-0.033489010822884725,-0.03670832671825697,-0.010156007633037626,-0.01838379026281045,0.03104576648819764,0.04417501818887789,0.008457831042929964,0.02320634903107388,0.06453477731108237,0.08088334490713485,0.01861383867596759,0.04159013929388433,3,-0.00683148730739358,-0.003355979406920489,0.005293563546548197,0.002748974721313413,0.007923710546395846,0.018392806789941967,-0.014701638811150239,-0.002748974721313413,0.003075385518748454,0.006294701414120696,-0.008497682553499327,-0.01202983504132582,0.042555206747812255,0.029425955047132003,0.013439979176048,-0.0013085388120959163,0.039479821229063794,0.023131253633011314,0.021937661729547326,0.010721296229229904,0.01703163017031617,0.01540957015409572,0.014598540145985384,0.010948905109488982,2025-11-03,2025-11-04,0.01703163017031617,0.01540957015409572,-0.014598540145985384,-0.010948905109488982,cal_ace2cf7d166d,-0.03041362530413627,-0.03041362530413627,-0.018653690186536953,-0.03041362530413627,0.07360097323600989,0.07360097323600989,0.021897810218977964,0.021897810218977964,"PFE earnings release (Pfizer, Inc.)",0.10401459854014616,0.10401459854014616,0.04055150040551492,0.052311435523114236,PFE
