complete_event_count,direction_hypothesis,event_date,shell_status,symbol
15,mixed_or_conflicting_activity,2026-04-24,non_earnings_window,MSFT
5,bearish_activity,2026-05-01,non_earnings_window,MSFT
2,bearish_activity_or_call_selling,2026-05-01,non_earnings_window,MSFT
8,bullish_activity,2026-05-01,non_earnings_window,MSFT
1,bullish_activity_or_put_selling,2026-05-01,non_earnings_window,MSFT
6,mixed_or_conflicting_activity,2026-05-01,non_earnings_window,MSFT
10,bearish_activity,2026-04-17,non_earnings_window,NVDA
9,bullish_activity,2026-04-17,non_earnings_window,NVDA
1,bullish_activity_or_put_selling,2026-04-17,non_earnings_window,NVDA
2,mixed_or_conflicting_activity,2026-04-17,non_earnings_window,NVDA
5,bearish_activity,2026-04-24,non_earnings_window,NVDA
11,bullish_activity,2026-04-24,non_earnings_window,NVDA
4,bullish_activity_or_put_selling,2026-04-24,non_earnings_window,NVDA
2,mixed_or_conflicting_activity,2026-04-24,non_earnings_window,NVDA
11,bearish_activity,2026-05-01,non_earnings_window,NVDA
11,bullish_activity,2026-05-01,non_earnings_window,NVDA
1,bearish_activity,2026-04-17,non_earnings_window,PFE
4,bearish_activity_or_call_selling,2026-04-17,non_earnings_window,PFE
8,bullish_activity,2026-04-17,non_earnings_window,PFE
1,mixed_or_conflicting_activity,2026-04-17,non_earnings_window,PFE
2,bearish_activity_or_call_selling,2026-04-24,non_earnings_window,PFE
3,bullish_activity,2026-04-24,non_earnings_window,PFE
1,bullish_activity_or_put_selling,2026-04-24,non_earnings_window,PFE
8,mixed_or_conflicting_activity,2026-04-24,non_earnings_window,PFE
5,bearish_activity,2026-05-01,non_earnings_window,PFE
2,bearish_activity_or_call_selling,2026-05-01,non_earnings_window,PFE
1,bullish_activity,2026-05-01,non_earnings_window,PFE
1,bullish_activity_or_put_selling,2026-05-01,non_earnings_window,PFE
11,mixed_or_conflicting_activity,2026-05-01,non_earnings_window,PFE
4,bearish_activity,2026-04-17,non_earnings_window,RKLB
4,bearish_activity_or_call_selling,2026-04-17,non_earnings_window,RKLB
5,bullish_activity,2026-04-17,non_earnings_window,RKLB
3,bullish_activity_or_put_selling,2026-04-17,non_earnings_window,RKLB
7,mixed_or_conflicting_activity,2026-04-17,non_earnings_window,RKLB
6,bearish_activity,2026-04-24,non_earnings_window,RKLB
1,bearish_activity_or_call_selling,2026-04-24,non_earnings_window,RKLB
3,bullish_activity,2026-04-24,non_earnings_window,RKLB
