avg_abs_underlying_fwd_10d,avg_abs_underlying_fwd_14d,avg_abs_underlying_fwd_1d,avg_abs_underlying_fwd_5d,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,avg_underlying_path_range_10d,avg_underlying_path_range_14d,avg_underlying_path_range_1d,avg_underlying_path_range_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_dates,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,option_right,sample
0.08400572783528343,0.11765213104672599,0.014392988516700938,0.05611162506062391,-0.06259057199879023,-0.10387472971513588,-0.0020957175004309584,-0.032014652868481985,-0.5193598562954894,-0.6704553748307487,-0.03366775199044647,-0.278201180684645,0.14638238629943723,0.1961251236608177,0.03349756378033086,0.09844315787130366,bearish_activity,0.3728813559322034,0.2627118644067797,0.42702702702702705,0.31891891891891894,3,185,12,0.10256410256410256,0.10256410256410256,0.35135135135135137,0.24324324324324326,,all_events_by_direction
0.05942501895307924,0.07637522903268455,0.01611673814047141,0.06834769626125865,,,,,-0.03978326285336271,0.1442801160191413,-0.04340616717219041,0.42886435098462117,0.12456863858307526,0.153777762229319,0.03362563280184634,0.11290400280292726,bearish_activity_or_call_selling,,,,,3,70,10,0.34615384615384615,0.21153846153846154,0.42857142857142855,0.5285714285714286,,all_events_by_direction
0.08355077383134761,0.11447009094461177,0.015536928004891813,0.05973125740989755,0.05149444513850819,0.09128254087746272,0.000612567240408849,0.030816637646994723,0.5499446057680132,1.1732927177049124,-0.022647582326151623,0.4505393673874528,0.1481323894122615,0.19194734401074248,0.0347446181070876,0.10576650349597266,bullish_activity,0.5609756097560976,0.6951219512195121,0.5330578512396694,0.6322314049586777,3,242,12,0.5,0.5,0.49173553719008267,0.5371900826446281,,all_events_by_direction
0.11789304155683528,0.16421503572189397,0.0244798712779677,0.07864819984269794,,,,,-0.5049283355853124,-0.6485189489391131,-0.030114491015367336,-0.3289703255348815,0.18809308173577358,0.24953752508274948,0.04179125140242808,0.1355157899643338,bullish_activity_or_put_selling,,,,,3,67,12,0.2608695652173913,0.21739130434782608,0.4393939393939394,0.25757575757575757,,all_events_by_direction
0.05917262775979096,0.09496807492257148,0.014709800673057808,0.04643676643087355,,,,,-0.17857256887201395,-0.14315445522300108,-0.009387331206585855,-0.07987764631155753,0.12886846959048162,0.1679716577563381,0.029937874519244522,0.08937635548606866,mixed_or_conflicting_activity,,,,,3,277,12,0.3314285714285714,0.24571428571428572,0.4673913043478261,0.35144927536231885,,all_events_by_direction
0.08314067228580369,0.11768388220641718,0.014281613964454279,0.056096590514767876,-0.06101755962926309,-0.10314897061612864,-0.002092308196793281,-0.031142311829759132,-0.5167508194859819,-0.666369236134532,-0.03216734593516945,-0.2636412999996735,0.14639653602068414,0.19628002282390003,0.03354252703368465,0.09844102528684043,bearish_activity,0.37383177570093457,0.27102803738317754,0.4235294117647059,0.3352941176470588,3,170,12,0.10377358490566038,0.10377358490566038,0.34705882352941175,0.2529411764705882,,complete_evidence_by_direction
0.06001874243815616,0.07736319720338604,0.016425800500265125,0.06623690605783782,,,,,-0.023695856951361546,0.15391282323142308,-0.03967844967904581,0.41347978822547465,0.1254613499288422,0.15524320148971815,0.03370966693568813,0.11177825604294783,bearish_activity_or_call_selling,,,,,3,66,10,0.35294117647058826,0.21568627450980393,0.42424242424242425,0.5303030303030303,,complete_evidence_by_direction
0.0836472832358837,0.11496300132263962,0.015082618674728128,0.059672788359054624,0.051318375952140886,0.09168970088456051,0.00040265746385165024,0.030397880185209752,0.5415367999144449,1.173683936842298,-0.026421695241875126,0.44088676720610626,0.14745896448760445,0.1914448243090214,0.03450862337661568,0.1051491520437561,bullish_activity,0.5533333333333333,0.6933333333333334,0.5315315315315315,0.6261261261261262,3,222,12,0.5,0.5,0.49099099099099097,0.5315315315315315,,complete_evidence_by_direction
0.11888873575377133,0.16642427855516523,0.024807473782691523,0.08055376758003016,,,,,-0.520975407765129,-0.6662129195205587,-0.02933497261429703,-0.33510192645367237,0.1885378111126124,0.2513476865339656,0.04179102842991782,0.13746532254025742,bullish_activity_or_put_selling,,,,,3,65,12,0.24444444444444444,0.2,0.4375,0.25,,complete_evidence_by_direction
0.06070663260167624,0.09752871875290532,0.01504276104105718,0.04715802626671719,,,,,-0.1638868366705182,-0.1144666730563972,-0.013133192674007322,-0.07612643990011878,0.13043554971087806,0.17068973493788855,0.030290626894550733,0.09041900371717637,mixed_or_conflicting_activity,,,,,3,263,12,0.3373493975903614,0.25301204819277107,0.4580152671755725,0.3549618320610687,,complete_evidence_by_direction
0.08314067228580369,0.11768388220641718,0.014281613964454279,0.056096590514767876,-0.06101755962926309,-0.10314897061612864,-0.002092308196793281,-0.031142311829759132,-0.5167508194859819,-0.666369236134532,-0.03216734593516945,-0.2636412999996735,0.14639653602068414,0.19628002282390003,0.03354252703368465,0.09844102528684043,bearish_activity,0.37383177570093457,0.27102803738317754,0.4235294117647059,0.3352941176470588,3,170,12,0.10377358490566038,0.10377358490566038,0.34705882352941175,0.2529411764705882,PUT,complete_evidence_by_direction_and_right
0.06001874243815616,0.07736319720338604,0.016425800500265125,0.06623690605783782,,,,,-0.023695856951361546,0.15391282323142308,-0.03967844967904581,0.41347978822547465,0.1254613499288422,0.15524320148971815,0.03370966693568813,0.11177825604294783,bearish_activity_or_call_selling,,,,,3,66,10,0.35294117647058826,0.21568627450980393,0.42424242424242425,0.5303030303030303,CALL,complete_evidence_by_direction_and_right
0.0836472832358837,0.11496300132263962,0.015082618674728128,0.059672788359054624,0.051318375952140886,0.09168970088456051,0.00040265746385165024,0.030397880185209752,0.5415367999144449,1.173683936842298,-0.026421695241875126,0.44088676720610626,0.14745896448760445,0.1914448243090214,0.03450862337661568,0.1051491520437561,bullish_activity,0.5533333333333333,0.6933333333333334,0.5315315315315315,0.6261261261261262,3,222,12,0.5,0.5,0.49099099099099097,0.5315315315315315,CALL,complete_evidence_by_direction_and_right
0.11888873575377133,0.16642427855516523,0.024807473782691523,0.08055376758003016,,,,,-0.520975407765129,-0.6662129195205587,-0.02933497261429703,-0.33510192645367237,0.1885378111126124,0.2513476865339656,0.04179102842991782,0.13746532254025742,bullish_activity_or_put_selling,,,,,3,65,12,0.24444444444444444,0.2,0.4375,0.25,PUT,complete_evidence_by_direction_and_right
0.07101151834936603,0.11776472845649914,0.015777088322009268,0.04174818407751521,,,,,0.15538535210642768,0.5407502956619296,0.022682209881861454,-0.075572656748463,0.13599454048491375,0.18639188304754334,0.029415475972620723,0.08445657909307919,mixed_or_conflicting_activity,,,,,3,111,12,0.4411764705882353,0.38235294117647056,0.5675675675675675,0.32432432432432434,CALL,complete_evidence_by_direction_and_right
0.05362852925982871,0.08362923734033582,0.014506508881940853,0.05110863470751601,,,,,-0.38542264112799085,-0.5691070186976851,-0.03946107137401682,-0.07653352552815713,0.12661725301760104,0.15990442108479233,0.03092971737043383,0.09477314275187894,mixed_or_conflicting_activity,,,,,3,152,12,0.2653061224489796,0.16326530612244897,0.37748344370860926,0.37748344370860926,PUT,complete_evidence_by_direction_and_right
