avg_abs_underlying_fwd_10d,avg_abs_underlying_fwd_14d,avg_abs_underlying_fwd_1d,avg_abs_underlying_fwd_5d,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,avg_underlying_path_range_10d,avg_underlying_path_range_14d,avg_underlying_path_range_1d,avg_underlying_path_range_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_dates,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,sample,symbol
0.05485229427864735,0.07827682384588223,0.011595014079607332,0.03190229384211631,-0.05485229427864735,-0.07827682384588223,0.005631839852361746,-0.03190229384211631,-0.862944976739438,-0.9705648160301003,0.13153190459074357,-0.6546346143421565,0.09299350576304569,0.11298556845849546,0.017313889629740314,0.06373829990128208,bearish_activity,0.0,0.0,0.7142857142857143,0.0,3,21,1,0.0,0.0,0.7142857142857143,0.0,complete_evidence_by_symbol_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,,,,,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,bearish_activity_or_call_selling,,,,,1,1,1,1.0,1.0,0.0,1.0,complete_evidence_by_symbol_direction,AAPL
0.05939725179901789,0.0819244074856269,0.011664657139003382,0.02849105523418375,0.05939725179901789,0.0819244074856269,-0.00493204107598417,0.02849105523418375,1.1386049626392218,1.739165374312703,-0.14907992664023126,0.710449914229686,0.09575007892511857,0.11619773047283437,0.01598076374218799,0.06394517807737812,bullish_activity,1.0,1.0,0.3225806451612903,1.0,3,31,1,1.0,1.0,0.3225806451612903,0.6774193548387096,complete_evidence_by_symbol_direction,AAPL
0.07075964559994424,0.09104336658498857,0.012154745730248911,0.02589145328510939,,,,,-0.9241315570722317,-0.985176860480378,0.13740867130419565,-0.6047654985343658,0.10264151183030074,0.12422813550868167,0.01278982490843731,0.07088084835073549,bullish_activity_or_put_selling,,,,,2,8,1,0.0,0.0,0.75,0.0,complete_evidence_by_symbol_direction,AAPL
0.04576237923790627,0.07098165656639291,0.01089400578636488,0.009156789817301326,,,,,-0.5907650085144438,-0.5635807373362558,-0.006337905700542601,-0.25014591432718614,0.08748035943889995,0.10656124442981763,0.01422486463137021,0.047043019304364685,mixed_or_conflicting_activity,,,,,2,5,1,0.2,0.2,0.4,0.0,complete_evidence_by_symbol_direction,AAPL
0.30266859823468273,0.37040282919731193,0.034591788040970635,0.171580258789249,-0.30266859823468273,-0.37040282919731193,0.034591788040970635,-0.171580258789249,-0.9567355479040993,-0.9964545835305123,0.2234282509546402,-0.6913355254902065,0.37861298828344636,0.5075154410282079,0.05956847659914935,0.2482447100642456,bearish_activity,0.0,0.0,1.0,0.0,3,13,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_direction,AMD
0.29963700792963827,0.40913059438968286,0.03905752895986286,0.22648811180867212,,,,,3.6255724528021034,5.41017225268137,-0.34851627325093054,2.918382190271185,0.3576178809761026,0.532391013242953,0.0610906446069372,0.2911746485121048,bearish_activity_or_call_selling,,,,,3,7,1,1.0,1.0,0.0,1.0,complete_evidence_by_symbol_direction,AMD
0.3019107006584216,0.3800847704954047,0.03284601089844893,0.17645303234662615,0.3019107006584216,0.3800847704954047,-0.03284601089844893,0.17645303234662615,3.6088789104170282,4.892715026420898,-0.2895541393894952,2.1622227834167105,0.3733642114566104,0.5137343340818942,0.05927963414364689,0.2506942933467355,bullish_activity,1.0,1.0,0.0,1.0,3,25,1,1.0,1.0,0.0,1.0,complete_evidence_by_symbol_direction,AMD
0.30266859823468273,0.37040282919731193,0.03588514101541936,0.17807616047167066,,,,,-0.9567355479040993,-0.9964545835305123,0.23520834121238782,-0.7110598256805732,0.37861298828344636,0.5075154410282079,0.059899959820139834,0.2538093496591066,bullish_activity_or_put_selling,,,,,3,14,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_direction,AMD
0.3005464850211516,0.3975122648319716,0.033869373916674134,0.20110709354335513,,,,,-0.04138888857372906,-0.12781168490496145,0.15220601823771074,-0.698898624242453,0.36391641316830575,0.5249283415785294,0.05976879995472164,0.26934674388408586,mixed_or_conflicting_activity,,,,,3,8,1,0.2,0.2,0.875,0.125,complete_evidence_by_symbol_direction,AMD
