avg_abs_underlying_fwd_10d,avg_abs_underlying_fwd_14d,avg_abs_underlying_fwd_1d,avg_abs_underlying_fwd_5d,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,avg_underlying_path_range_10d,avg_underlying_path_range_14d,avg_underlying_path_range_1d,avg_underlying_path_range_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,event_date,n_dates,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,sample,symbol
0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,-0.03667246419716519,-0.06368648928690357,-0.010435554897679777,-0.003071457647189302,-0.7930174563591023,-0.9538653366583542,-0.15211970074812964,-0.1471321695760598,0.08196721311475422,0.10013692040113979,0.014746697257891265,0.03837471783295712,bearish_activity,0.0,0.0,0.0,0.0,2026-04-17,1,6,1,0.0,0.0,0.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,0.3930635838150289,1.039306358381503,0.19075144508670516,-0.05202312138728338,0.08196721311475422,0.10013692040113978,0.014746697257891263,0.03837471783295712,bullish_activity,1.0,1.0,1.0,1.0,2026-04-17,1,10,1,1.0,1.0,1.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,,,,,-0.7930174563591023,-0.9538653366583542,-0.15211970074812964,-0.1471321695760598,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,bullish_activity_or_put_selling,,,,,2026-04-17,1,2,1,0.0,0.0,0.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.03667246419716519,0.06368648928690357,0.010435554897679777,0.003071457647189302,,,,,-0.49649719631556943,-0.4555724128983899,-0.06640191428942094,-0.12335490752886569,0.08196721311475422,0.10013692040113978,0.014746697257891265,0.03837471783295712,mixed_or_conflicting_activity,,,,,2026-04-17,1,4,1,0.25,0.25,0.25,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,-0.0821220394008706,-0.10016232568435024,0.01272780934110529,-0.03349811849774942,-0.9678362573099415,-0.9956140350877193,0.23391812865497075,-0.7573099415204678,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,bearish_activity,0.0,0.0,1.0,0.0,2026-04-24,1,4,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,,,,,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,bearish_activity_or_call_selling,,,,,2026-04-24,1,1,1,1.0,1.0,0.0,1.0,complete_evidence_by_symbol_date_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,0.10953294473548289,0.13225854054452896,0.01213753412528599,0.08171622518999495,bullish_activity,1.0,1.0,0.0,1.0,2026-04-24,1,10,1,1.0,1.0,0.0,1.0,complete_evidence_by_symbol_date_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,,,,,-0.9678362573099415,-0.9956140350877193,0.23391812865497075,-0.7573099415204677,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,bullish_activity_or_put_selling,,,,,2026-04-24,1,6,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
0.0821220394008706,0.10016232568435024,0.01272780934110529,0.03349811849774942,,,,,-0.9678362573099415,-0.9956140350877193,0.23391812865497075,-0.7573099415204678,0.1095329447354829,0.13225854054452896,0.01213753412528599,0.08171622518999495,mixed_or_conflicting_activity,,,,,2026-04-24,1,1,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
,,0.011815520811023106,0.04704790461911901,,,0.011815520811023106,-0.04704790461911901,,,0.24901960784313726,-0.8941176470588235,,,0.020596487470550463,0.07103555365174556,bearish_activity,,,1.0,0.0,2026-05-01,1,11,1,,,1.0,0.0,complete_evidence_by_symbol_date_direction,AAPL
