symbol,release_date,event_trade_date,horizon,event_ret,event_abs,event_path,control_count,control_mean_ret,control_mean_abs,control_mean_path,cpi_yoy,cpi_mom,core_yoy,core_mom,ret_delta,abs_delta,path_delta
TLT,2016-01-20,2016-01-20,1,0.008367330677290896,0.008367330677290896,0.012270916334661264,21,0.003189557205259496,0.006962839798430735,0.011529417388901923,0.006387247515364791,-0.0010755534268560574,0.020715072792840905,0.001252860903779407,0.0051777734720314,0.0014044908788601613,0.0007414989457593408
TLT,2016-02-19,2016-02-19,1,-0.0014485019440421132,0.0014485019440421132,0.010825646108103881,22,0.0006173212841039514,0.0076208258097361144,0.013676456746588982,0.012375025026943876,-0.0004584435630738959,0.02145022538582464,0.0016683909432542166,-0.0020658232281460646,-0.006172323865694001,-0.0028508106384851004
TLT,2016-03-16,2016-03-16,1,0.0031250000000000444,0.0031250000000000444,0.008984375000000044,22,-0.00018116743022542826,0.006068419221842475,0.010505841842226183,0.008472775790126619,-0.0013296753235823022,0.02222573822094165,0.002265722275519799,0.0033061674302254725,-0.0029434192218424308,-0.0015214668422261386
TLT,2016-04-14,2016-04-14,1,-0.004415347137637138,0.004415347137637138,0.0073081607795372205,22,-0.0008458417247485275,0.006137764518392364,0.009528137527524601,0.008916160965521946,0.0031347962382444194,0.02142426948557663,0.00164148099873751,-0.00356950541288861,-0.0017224173807552264,-0.0022199767479873806
TLT,2016-05-17,2016-05-17,1,0.00015259021896696368,0.00015259021896696368,0.00617990386816214,22,0.00226038774348109,0.004961695352160794,0.008840184078458707,0.011726257503534843,0.0038306451612901693,0.02156654761214183,0.0025944134714308564,-0.0021077975245141264,-0.00480910513319383,-0.0026602802102965676
TLT,2016-06-16,2016-06-16,1,0.003382352941176503,0.003382352941176503,0.010294117647058787,22,0.004212165245828166,0.008283585087771394,0.010243303947743053,0.010784764621246223,0.0023640958693178504,0.022545595974976074,0.002376790197565759,-0.0008298123046516634,-0.004901232146594891,5.081369931573404e-05
TLT,2016-07-15,2016-07-15,1,-0.0025775041168467627,0.0025775041168467627,0.010023627121071188,22,0.0007078063080674379,0.006976392569365492,0.012343679419967639,0.010792865347959424,0.002775957287827202,0.022622116465067066,0.0016306744841929621,-0.0032853104249142007,-0.004398888452518729,-0.0023200522988964505
TLT,2016-08-16,2016-08-16,1,-0.0025940337224384935,0.0025940337224384935,0.01037613488975353,22,7.87046556031931e-05,0.0066215052367668056,0.0109998420573564,0.008683633430518256,-0.0005037007434789409,0.021701399624842965,0.0011674880827341472,-0.0026727383780416865,-0.004027471514328312,-0.0006237071676028702
TLT,2016-09-16,2016-09-16,1,0.003805970149253657,0.003805970149253657,0.006940298507462805,22,-0.0016374432674972678,0.006131684413156747,0.01152024519755801,0.010553158595656864,0.0018492217858316895,0.023087345614186683,0.0023968139321870474,0.005443413416750925,-0.00232571426390309,-0.004579946690095205
TLT,2016-10-18,2016-10-18,1,0.003928085813567073,0.003928085813567073,0.009577730775041537,22,-0.002767872212208715,0.005464347292941662,0.010442203672461419,0.015486446201652182,0.0026232097944252075,0.022711206825691832,0.0016866393208359032,0.006695958025775788,-0.0015362614793745892,-0.0008644728974198813
TLT,2016-11-17,2016-11-17,1,-0.018527547537786404,0.018527547537786404,0.017227368763204964,22,-0.00356754294382095,0.007451627260650043,0.01317168049575159,0.01685924966243646,0.0023426874979268764,0.022045551507991146,0.0012055842663214467,-0.014960004593965454,0.011075920277136362,0.004055688267453374
TLT,2016-12-15,2016-12-15,1,0.0030785017957926097,0.0030785017957926097,0.015135967162647535,22,-0.0002631042798473815,0.005482892567077805,0.010725805873379209,0.016843334719788938,0.0011789477167711837,0.021454219398053587,0.0013606698188182165,0.0033416060756399912,-0.0024043907712851956,0.0044101612892683256
TLT,2017-01-18,2017-01-18,1,-0.015810920945395268,0.015810920945395268,0.010594947025264867,22,0.0007404008252717042,0.0048012862166869116,0.01073600733533781,0.020507989115119862,0.002524522158776188,0.02197123661300271,0.0017596530397103738,-0.016551321770666972,0.011009634728708357,-0.00014106031007294316
TLT,2017-02-13,2017-02-13,1,-0.0023385667950033273,0.0023385667950033273,0.004806409429843783,22,0.000616934245013099,0.005316010520381553,0.009513552162678322,0.025103933482571117,0.004043076694815628,0.022502092221020176,0.002188700384122999,-0.002955501040016426,-0.002977443725378226,-0.004707142732834539
TLT,2017-02-15,2017-02-15,1,-0.0015058981008951866,0.0015058981008951866,0.006609219442817671,22,-8.428346273598402e-05,0.005335008651696338,0.009406850606962154,0.025103933482571117,0.004043076694815628,0.022502092221020176,0.002188700384122999,-0.0014216146381592026,-0.0038291105508011514,-0.002797631164144483
TLT,2017-03-15,2017-03-15,1,0.010926163038839087,0.010926163038839087,0.014767392232180931,22,-0.0012323776605127118,0.005101299044324992,0.008889322346460136,0.028103616813294208,0.0015926573570097524,0.022353468290497336,0.0021200397657175074,0.0121585406993518,0.005824863994514096,0.005878069885720795
TLT,2017-04-14,2017-04-17,1,-0.002593192868719618,0.002593192868719618,0.007131280388978811,22,0.0011366897776846933,0.019876706115146744,0.01544011952884744,0.0244119623655914,-0.00046720162618951733,0.02045845481938735,-0.00021514115650322907,-0.0037298826464043115,-0.017283513246427126,-0.008308839139868629
TLT,2017-05-12,2017-05-12,1,0.007803420222480595,0.007803420222480595,0.007637390004980871,22,0.000854842621568092,0.004485010207756344,0.007712883248750433,0.02176223471915395,0.001234152821740775,0.018965650108902388,0.0011277416475390378,0.006948577600912503,0.0033184100147242513,-7.549324376956209e-05
TLT,2017-06-14,2017-06-14,1,0.019879275653923445,0.019879275653923445,0.01738430583501005,22,-1.2676556911566712e-05,0.004073098587799998,0.007264815320138739,0.018563431667619756,-0.0007739779600562935,0.017370931912259246,0.0008080341683018855,0.01989195221083501,0.015806177066123448,0.01011949051487131
TLT,2017-07-14,2017-07-14,1,-0.0013787510137874825,0.0013787510137874825,0.009975669099756557,22,-0.0012068673130484866,0.004922351671374573,0.008179414755035742,0.01640565809959127,0.0006516286618252209,0.01699119334249022,0.0012568110408464062,-0.00017188370073899597,-0.0035436006575870907,0.001796254344720815
TLT,2017-08-11,2017-08-11,1,-0.00047460844803037805,0.00047460844803037805,0.00862205347255185,22,0.0012826194628944752,0.004352967645170877,0.007970983855966174,0.017251073506566073,0.0003276499715354486,0.016769627444729984,0.0009493696026947607,-0.0017572279109248532,-0.003878359197140499,0.0006510696165856755
TLT,2017-09-14,2017-09-14,1,0.0039525691699604515,0.0039525691699604515,0.009011857707509896,22,-0.0010581082061999077,0.00557841949544883,0.008357150240593808,0.0192812155729698,0.0038486261632881824,0.016552412618799472,0.002182669603349341,0.00501067737616036,-0.0016258503254883783,0.0006547074669160883
TLT,2017-10-13,2017-10-13,1,0.007600000000000051,0.007600000000000051,0.010240000000000027,22,-0.0013295262339664876,0.00420309811171157,0.007686060827492952,0.021805652303711787,0.005106389920997767,0.015953898457655935,0.0010968776605224662,0.008929526233966539,0.003396901888288481,0.0025539391725070745
TLT,2017-11-15,2017-11-15,1,0.010383386581469534,0.010383386581469534,0.008546325878594274,22,0.0007760451733056052,0.004200952837936276,0.007995220554335351,0.02020757753132485,0.0007750522450138408,0.017596390813271245,0.0028242330269132587,0.009607341408163928,0.006182433743533258,0.0005511053242589232
TLT,2017-12-13,2017-12-13,1,0.008067705449655849,0.008067705449655849,0.012101558174483884,22,-0.001021398674969804,0.0050609191026232654,0.009577418670139372,0.02172493864295566,0.002668007428251684,0.017376072726981162,0.0011438669012251435,0.009089104124625652,0.0030067863470325832,0.0025241395043445122
TLT,2018-01-12,2018-01-12,1,0.0037842190016101895,0.0037842190016101895,0.009178743961352653,22,-0.0013403408885375924,0.004941015384333765,0.008112490694961923,0.021299307195522532,0.0021068892447551058,0.01770166453265043,0.0020802471081413643,0.005124559890147782,-0.0011567963827235758,0.0010662532663907303
TLT,2018-02-14,2018-02-14,1,-0.010591795561533224,0.010591795561533224,0.015299260255548064,22,-0.0019774701772777192,0.006137997998436057,0.011411700999522297,0.02151318868063945,0.004253344363511546,0.018912671130328462,0.0033812474444061547,-0.008614325384255505,0.004453797563097167,0.003887559256025767
TLT,2018-03-13,2018-03-13,1,0.00598449089683073,0.00598449089683073,0.008007417397168037,22,0.0010121394052618673,0.004889485157739424,0.00877064240110747,0.02263468931091861,0.0026922876006090224,0.0187770420481439,0.001986645977335888,0.004972351491568863,0.001095005739091306,-0.0007632250039394332
TLT,2018-04-11,2018-04-11,1,0.003883976530865141,0.003883976530865141,0.00685893727791087,22,-0.0005062458979608684,0.004737513473333691,0.007967815749846478,0.023309497646499366,0.000192362410782021,0.021227843662331214,0.0021899722733866867,0.0043902224288260095,-0.0008535369424685505,-0.0011088784719356076
TLT,2018-05-10,2018-05-10,1,0.008044030482641906,0.008044030482641906,0.006773920406435208,22,0.0012878157831664914,0.005378074907372632,0.007026359871670566,0.024709963021052994,0.002604406656061986,0.02150644636125887,0.001400860807504456,0.006756214699475415,0.0026659555752692743,-0.0002524394652353582
TLT,2018-06-12,2018-06-12,1,0.002011566507417628,0.002011566507417628,0.006286145335680282,22,0.0013651509234306066,0.005295901917993648,0.008244339659657918,0.02781921607842497,0.002257949781598212,0.02272998448872432,0.0020067801893777215,0.0006464155839870215,-0.0032843354105760196,-0.0019581943239776363
TLT,2018-07-12,2018-07-12,1,0.0008169934640522847,0.0008169934640522847,0.0032679738562092497,22,-0.0006793834581199542,0.004208852563209994,0.006836600041063704,0.028075506935940187,0.0009011451720948305,0.022455173071270318,0.000987769546364925,0.001496376922172239,-0.0033918590991577095,-0.003568626184854454
TLT,2018-08-10,2018-08-10,1,0.008441287087338045,0.008441287087338045,0.007856247388215554,22,-0.00022907524165209005,0.0032863051479780133,0.006185013629760947,0.02854124785561929,0.0007808204989283585,0.02267595293370639,0.0011655056934953834,0.008670362328990135,0.005154981939360032,0.0016712337584546067
