avg_delta_abs_fwd_10d,avg_delta_abs_fwd_14d,avg_delta_abs_fwd_5d,avg_delta_directional_fwd_10d,avg_delta_directional_fwd_14d,avg_delta_directional_fwd_5d,avg_delta_path_range_10d,avg_delta_path_range_14d,avg_delta_path_range_5d,avg_verified_non_earnings_control_count,direction_hypothesis,event_avg_abs_fwd_10d,event_avg_abs_fwd_14d,event_avg_abs_fwd_5d,event_avg_directional_fwd_10d,event_avg_directional_fwd_14d,event_avg_directional_fwd_5d,event_avg_path_range_10d,event_avg_path_range_14d,event_avg_path_range_5d,event_has_canonical_earnings_shell,n_event_count_sum,n_symbols,n_windows,positive_delta_rate_abs_fwd_10d,positive_delta_rate_abs_fwd_14d,positive_delta_rate_abs_fwd_5d,positive_delta_rate_directional_fwd_10d,positive_delta_rate_directional_fwd_14d,positive_delta_rate_directional_fwd_5d,positive_delta_rate_path_range_10d,positive_delta_rate_path_range_14d,positive_delta_rate_path_range_5d,sample,verified_control_avg_abs_fwd_10d,verified_control_avg_abs_fwd_14d,verified_control_avg_abs_fwd_5d,verified_control_avg_directional_fwd_10d,verified_control_avg_directional_fwd_14d,verified_control_avg_directional_fwd_5d,verified_control_avg_path_range_10d,verified_control_avg_path_range_14d,verified_control_avg_path_range_5d,windows_with_verified_non_earnings_controls
-0.006544174914902069,-0.014419774646588552,0.017071223542384592,,,,-0.0016025074757824824,-0.016112008783182592,0.018998595570309747,2.9160839160839163,,0.07984025086035809,0.11317416416790466,0.05860644155694241,,,,0.14502573973951716,0.19006154893575816,0.10622038613505062,False,741,12,143,0.35294117647058826,0.40625,0.5314685314685315,,,,0.5294117647058824,0.3229166666666667,0.6293706293706294,by_canonical_earnings_shell,0.11062710225587041,0.12451778359629828,0.04153521801455781,3.317393564405729e-05,-0.0012787033645801455,0.0012728012816278055,0.17024086291560084,0.20281926542717496,0.08722179056474087,143
,,0.010269347601487011,,,,,,0.0070954870608052655,3.0,,,,0.05005865439598603,,,,,,0.07440705107766779,True,45,2,9,,,1.0,,,,,,1.0,by_canonical_earnings_shell,0.02303677261991309,,0.03978930679449902,0.0,,0.0,0.07475679012637289,,0.06731156401686252,9
-0.008927687887546328,-0.022013292684711326,0.015664385590937895,,,,-0.005361129748253719,-0.019622503747985957,0.015906703867630906,2.9,bearish_activity,0.08191051700920904,0.11630168421840352,0.05821306965387603,,,,0.14850810144348608,0.19775118293832372,0.10449802439966475,False,163,12,30,0.3,0.2777777777777778,0.5,,,,0.45,0.2777777777777778,0.6,by_canonical_earnings_shell_and_direction,0.11229378846732516,0.1311320468276532,0.04254868406293813,-0.08727906772481565,-0.11092649174945167,-0.01571754788271239,0.17292655673788998,0.2095030698922815,0.08859132053203386,30
-0.0036781648884197157,-0.0050884311563200125,0.021623883909628643,,,,0.0010119505102804726,-0.010625447143206858,0.023154733497423557,2.92,bearish_activity_or_call_selling,0.08225412963379296,0.11172313886414927,0.05942564096701374,,,,0.14669039049760255,0.1894887775659813,0.10876027884510464,False,64,10,25,0.42105263157894735,0.47368421052631576,0.56,,,,0.5789473684210527,0.3684210526315789,0.64,by_canonical_earnings_shell_and_direction,0.10886154536378712,0.11681157002046927,0.037801757057385095,,,,0.17063733981613347,0.20011422470918813,0.08560554534768107,25
-0.007106456474638903,-0.013845950715847757,0.015475680981707395,,,,-0.002726397495351981,-0.015367167743695257,0.017689246924754137,2.909090909090909,bullish_activity,0.07706155550167926,0.10961920356511799,0.05649386665909033,,,,0.13992782225416173,0.18347880109448114,0.10308215862688863,False,208,12,33,0.34782608695652173,0.42857142857142855,0.5757575757575758,,,,0.5217391304347826,0.3333333333333333,0.6666666666666666,by_canonical_earnings_shell_and_direction,0.1056943585315141,0.11732920836650242,0.04101818567738294,0.07940793908151653,0.09341711387689981,0.016718573249209803,0.16337754947093086,0.19159329770517244,0.08539291170213449,33
-0.004949537248548685,-0.018928365851040036,0.018241672723086803,,,,0.001366332400784864,-0.021484392682223102,0.022321155721465948,2.9166666666666665,bullish_activity_or_put_selling,0.08805873009409644,0.12816792572646882,0.06431962081351811,,,,0.15486535489665898,0.2041765131091353,0.11443126898005741,False,63,12,24,0.35294117647058826,0.4375,0.5,,,,0.5882352941176471,0.3125,0.625,by_canonical_earnings_shell_and_direction,0.12401504915733942,0.1468632809095813,0.0460779480904313,,,,0.18378335035111973,0.22587812454143028,0.09211011325859148,24
-0.007455492110742935,-0.013534549414916979,0.015553505914248918,,,,-0.0015643798121876063,-0.014781976112167335,0.01746054281476479,2.935483870967742,mixed_or_conflicting_activity,0.07275011288660935,0.10412586969529068,0.05615224288957175,,,,0.1384476113051156,0.17999801786516734,0.10282276851567672,False,243,12,31,0.34782608695652173,0.4090909090909091,0.5161290322580645,,,,0.5217391304347826,0.3181818181818182,0.6129032258064516,by_canonical_earnings_shell_and_direction,0.10532413945673952,0.11639813607757045,0.04059873697532283,,,,0.16414366640075131,0.19383894873902474,0.08536222570091194,31
,,0.011139263345756045,,,,,,0.007267899462861757,3.0,bearish_activity,,,0.05040794443920249,,,,,,0.0744098156916686,True,7,2,2,,,1.0,,,,,,1.0,by_canonical_earnings_shell_and_direction,0.02173743670438716,,0.039268681093446445,0.02173743670438716,,0.039268681093446445,0.07464837606546243,,0.06714191622880686,2
,,0.0033100216473347377,,,,,,0.005716187844353335,3.0,bearish_activity_or_call_selling,,,0.04726433405025432,,,,,,0.07438493416566126,True,2,1,1,,,1.0,,,,,,1.0,by_canonical_earnings_shell_and_direction,0.033431459944120556,,0.04395431240291958,,,,0.07562410261365665,,0.06866874632130793,1
,,0.011139263345756045,,,,,,0.007267899462861757,3.0,bullish_activity,,,0.05040794443920249,,,,,,0.0744098156916686,True,14,2,2,,,1.0,,,,,,1.0,by_canonical_earnings_shell_and_direction,0.02173743670438716,,0.039268681093446445,-0.02173743670438716,,-0.039268681093446445,0.07464837606546243,,0.06714191622880686,2
